instance family sequential-except-0 sequential-except-1 sequential-except-2 sequential-except-3
si6_r001_m200.08 7 3 6 106 2516
si6_r001_m200.03 7 4 11 550050 1055
si4_b06_m400.06 3 11 14 13 12
si4_b06_m400.07 3 11 12 16 17
si4_b06_m400.09 3 11 12 12 20
si4_b06_m400.01 3 11 11 12 13
si4_b06_m400.04 3 11 11 12 13
si4_b06_m400.03 3 11 13 14 13
si4_b06_m400.00 3 11 15 17 20
si4_b06_m400.05 3 11 15 14 16
si4_b06_m400.08 3 11 12 14 15
si4_b06_m400.02 3 11 18 17 16
si2_m4Dr6_m256.06 6 9 42 31 91
si2_m4Dr6_m256.05 6 2 768 10 4415
si2_m4Dr6_m256.09 6 24 77 1263 542
si2_m4Dr6_m256.00 6 15 119 1000000 8
si2_m4Dr6_m256.07 6 2 1000000 6935 4414
si2_m4Dr6_m256.04 6 8 214 150 29
si2_m4Dr6_m256.02 6 2 5 246 224
si2_m4Dr6_m256.01 6 2 1000000 139476 173
si2_m4Dr6_m256.08 6 77 1710 54 783
si2_m4Dr6_m256.03 6 2 5211 16 156040
si6_r01_m200.04 7 1328 2105 2829 4670
si6_r01_m200.08 7 746 3789 8056 19752
si6_r01_m200.02 7 2810 5314 2197 4488
si6_r01_m200.09 7 7255 18251 20392 7379
si6_r01_m200.07 7 1232 6477 6993 7741
si6_r01_m200.00 7 1342 4650 33205 1671
si6_r01_m200.01 7 19631 2997 2564 7568
si6_r01_m200.03 7 4198 3115 27236 2526
si6_r01_m200.05 7 4948 2551 2861 43003
si6_r01_m200.06 7 4093 2903 1898 5623
si2_b03m_m800.03 4 38 145 1000000 296
si2_b03m_m800.02 4 36 98 132271 76
si2_b03m_m800.09 4 45 58 1000001 1000001
si2_b03m_m800.04 4 37 94 1000000 291
si2_b03m_m800.06 4 37 526 1000000 1000000
si2_b03m_m800.05 4 39 1000000 1000001 1000000
si2_b03m_m800.01 4 36 64 198 1000000
si2_b03m_m800.08 4 37 189 485 834
si2_b03m_m800.07 4 35 1000000 1000000 1000001
si2_b03m_m800.00 4 37 1000001 1000000 3440
si2_r001_m200.06 7 10703 3 119 49
si2_r001_m200.01 7 13969 353 5 3
si2_r001_m200.02 7 57739 117 5 7
si2_r001_m200.07 7 82 277502 5 109
si2_r001_m200.04 7 77050 1000000 31 3
si2_r001_m200.05 7 1000000 2 4 6
si2_r001_m200.09 7 221 3 8 3
si2_r001_m200.03 7 22957 390 6 5
si2_r001_m200.00 7 542396 4 4 2
si2_r001_m200.08 7 1000000 3 1422 3
si6_b03m_m800.01 4 113 217 1000001 325506
si6_b03m_m800.08 4 112 190 483 476
si6_b03m_m800.03 4 102 276 244 1963
si6_b03m_m800.00 4 110 296 260 304
si6_b03m_m800.04 4 107 159 188 519614
si6_b03m_m800.05 4 117 192 267 1000002
si6_b03m_m800.07 4 144 261 259 269
si6_b03m_m800.06 4 108 165 260 1163
si6_b03m_m800.09 4 104 225 657 400
si6_b03m_m800.02 4 118 300 81628 497777
si4_r005_m200.00 7 2190 2046 17305 1263
si4_r005_m200.08 7 584 3198 613 710
si4_r005_m200.02 7 805 9333 1625 379
si4_r005_m200.05 7 325 489 643 349
si4_r005_m200.06 7 244 596 415 883
si4_r005_m200.04 7 4286 987 279 3409
si4_r005_m200.07 7 1136 742 9471 477
si4_r005_m200.09 7 1066 1678 3053 4754
si4_r005_m200.01 7 1071 1340 5706 987
si4_r005_m200.03 7 947 663 35717 31528
si6_b09m_m400.03 4 17 23 28 55
si6_b09m_m400.07 4 15 15 25 550
si6_b09m_m400.00 4 15 21 25 138
si6_b09m_m400.04 4 15 16 20 36
si6_b09m_m400.06 4 16 22 23 234
si6_b09m_m400.08 4 16 16 43 62
si6_b09m_m400.02 4 15 17 30 85
si6_b09m_m400.05 4 16 18 29 518
si6_b09m_m400.09 4 22 16 49 47
si6_b09m_m400.01 4 16 16 37 41
si2_b09_m200.08 3 1 3 2 2
si2_b09_m200.01 3 1 2 2 5
si2_b09_m200.06 3 1 1 6 1
si2_b09_m200.05 3 1 2 2 1
si2_b09_m200.00 3 2 1 4 1
si2_b09_m200.02 3 1 2 1 2
si2_b09_m200.03 3 2 2 6 3
si2_b09_m200.04 3 2 2 4 2
si2_b09_m200.09 3 1 2 1 2
si2_b09_m200.07 3 1 2 2 1
si6_r01_m600.02 7 1000001 1000001 1000000 1000000
si6_r01_m600.06 7 1000000 1000000 1000000 1000001
si6_r01_m600.09 7 969415 1000000 1000001 1000001
si6_r01_m600.08 7 1000000 1000001 684452 1000000
si6_r01_m600.05 7 1000001 1000000 1000000 1000001
si6_r01_m600.07 7 1000001 1000001 1000000 1000000
si6_r01_m600.03 7 1000000 1000000 1000000 974429
si6_r01_m600.00 7 499660 1000000 1000001 1000000
si6_r01_m600.01 7 1000000 1000001 1000001 1000001
si6_r01_m600.04 7 1000000 1000000 1000001 1000001
si2_b06_m200.02 3 1 1 1 1
si2_b06_m200.00 3 1 1 2 2
si2_b06_m200.01 3 1 1 2 1
si2_b06_m200.06 3 1 1 1 1
si2_b06_m200.09 3 1 2 1 2
si2_b06_m200.07 3 1 2 1 1
si2_b06_m200.04 3 1 1 1 1
si2_b06_m200.08 3 1 1 1 1
si2_b06_m200.03 3 1 1 1 2
si2_b06_m200.05 3 1 1 1 1
si6_m4Dr2_m1296.05 6 332 432 656 12218
si6_m4Dr2_m1296.09 6 333 520 18496 22574
si6_m4Dr2_m1296.01 6 424 857 2369 39585
si6_m4Dr2_m1296.06 6 333 1735 174949 30991
si6_m4Dr2_m1296.07 6 361 1156 4114 6901
si6_m4Dr2_m1296.03 6 340 385 795 978
si6_m4Dr2_m1296.04 6 336 362 694 8923
si6_m4Dr2_m1296.00 6 330 438 9423 40355
si6_m4Dr2_m1296.08 6 347 489 4034 47915
si6_m4Dr2_m1296.02 6 329 348 1533 1096
si2_b09m_m800.09 4 36 142982 1000000 1000000
si2_b09m_m800.07 4 37 1148 1000000 1000000
si2_b09m_m800.00 4 31 61 596 78639
si2_b09m_m800.04 4 32 2308 61590 1333
si2_b09m_m800.02 4 31 384 5846 1000000
si2_b09m_m800.05 4 32 1000000 1000000 1841
si2_b09m_m800.03 4 32 246 1000000 2346
si2_b09m_m800.08 4 34 4816 45557 540349
si2_b09m_m800.06 4 33 67 22136 1000000
si2_b09m_m800.01 4 32 119 1918 1849
si4_b03_m400.01 3 10 11 12 12
si4_b03_m400.02 3 10 11 11 12
si4_b03_m400.05 3 10 15 12 18
si4_b03_m400.07 3 10 11 12 12
si4_b03_m400.06 3 10 11 16 17
si4_b03_m400.00 3 10 11 12 12
si4_b03_m400.03 3 10 11 12 12
si4_b03_m400.04 3 10 11 12 12
si4_b03_m400.09 3 10 11 12 12
si4_b03_m400.08 3 10 11 12 12
si2_b03_m200.05 3 1 1 1 1
si2_b03_m200.09 3 1 1 1 1
si2_b03_m200.07 3 1 1 1 1
si2_b03_m200.01 3 1 1 1 1
si2_b03_m200.08 3 1 1 1 1
si2_b03_m200.02 3 1 1 1 1
si2_b03_m200.04 3 1 1 1 2
si2_b03_m200.03 3 1 1 1 1
si2_b03_m200.06 3 1 1 1 1
si2_b03_m200.00 3 1 1 1 1
si4_r005_m600.00 7 271276 1000001 40957 1000001
si4_r005_m600.02 7 43629 253127 391100 1000000
si4_r005_m600.08 7 294540 412179 208121 576216
si4_r005_m600.05 7 149681 56120 406799 61708
si4_r005_m600.07 7 107669 1000000 547507 415341
si4_r005_m600.06 7 1000001 289467 357772 299305
si4_r005_m600.01 7 273131 1000000 132201 174174
si4_r005_m600.04 7 190374 141138 669933 456668
si4_r005_m600.03 7 99432 99012 208581 114425
si4_r005_m600.09 7 51736 133562 1000000 860825
si4_b09_m400.05 3 11 13 24 39
si4_b09_m400.03 3 12 14 14 49
si4_b09_m400.00 3 12 16 18 12
si4_b09_m400.07 3 12 21 21 19
si4_b09_m400.01 3 12 13 17 28
si4_b09_m400.06 3 12 17 22 25
si4_b09_m400.04 3 12 21 21 114
si4_b09_m400.02 3 16 23 21 33
si4_b09_m400.08 3 12 15 13 21
si4_b09_m400.09 3 12 27 19 14
si4_b06m_m400.06 4 10 11 16 71
si4_b06m_m400.03 4 10 11 22 34
si4_b06m_m400.01 4 10 25 30 43
si4_b06m_m400.08 4 10 17 22 54
si4_b06m_m400.05 4 15 86 315 7105
si4_b06m_m400.07 4 11 1393 80 448
si4_b06m_m400.00 4 10 14 20 111
si4_b06m_m400.04 4 10 25 85 95
si4_b06m_m400.09 4 11 15 144 225238
si4_b06m_m400.02 4 10 34 58 2237
si2_m4Dr2_m625.05 6 21 391 2615 8019
si2_m4Dr2_m625.00 6 1534 3294 38108 1000000
si2_m4Dr2_m625.08 6 21 23 299 4435
si2_m4Dr2_m625.09 6 23 281 766 2008
si2_m4Dr2_m625.06 6 438 3735 1087 33342
si2_m4Dr2_m625.04 6 102 1000000 1000000 1000000
si2_m4Dr2_m625.01 6 109 680 1406 1937
si2_m4Dr2_m625.03 6 1100 2309 2621 1000000
si2_m4Dr2_m625.02 6 164 740 1000000 1000000
si2_m4Dr2_m625.07 6 18 5843 43482 360
si2_r005_m200.02 7 149 7079 262828 835
si2_r005_m200.01 7 161756 56 15 6
si2_r005_m200.03 7 407 272 12 2
si2_r005_m200.05 7 19038 10544 437309 2904
si2_r005_m200.08 7 93081 147 2 3
si2_r005_m200.04 7 2986 71 1359 6
si2_r005_m200.09 7 213 79 1862 2
si2_r005_m200.06 7 2632 329 84 19
si2_r005_m200.00 7 6836 4784 72 3
si2_r005_m200.07 7 1956 640 77 6
si4_b03m_m400.03 4 13 26 101 37
si4_b03m_m400.09 4 11 31 32 27
si4_b03m_m400.08 4 11 69 488728 1000001
si4_b03m_m400.04 4 15 43 33 94
si4_b03m_m400.00 4 12 4124 70187 1000000
si4_b03m_m400.01 4 12 18 34 48
si4_b03m_m400.07 4 12 20 25 192
si4_b03m_m400.02 4 12 235 610 1275
si4_b03m_m400.06 4 13 25 1138 1807
si4_b03m_m400.05 4 12 17 793 1830
si2_r01_m600.01 7 1000000 1000000 1000000 1000000
si2_r01_m600.06 7 1000000 1000000 1000000 809180
si2_r01_m600.09 7 1000000 1000000 1000000 1000000
si2_r01_m600.08 7 1000000 1000000 1000000 1000000
si2_r01_m600.04 7 1000000 1000000 1000000 1000000
si2_r01_m600.02 7 1000000 1000000 1000000 1000000
si2_r01_m600.00 7 1000000 1000000 1000000 1000000
si2_r01_m600.07 7 1000000 1000000 1000000 1000000
si2_r01_m600.03 7 1000000 1000000 1000000 1000000
si2_r01_m600.05 7 1000000 1000000 1000000 1000000
si4_m4Dr6_m256.01 6 3 8 33 113
si4_m4Dr6_m256.00 6 33 358 513 823
si4_m4Dr6_m256.05 6 75 158 63 1398
si4_m4Dr6_m256.08 6 65 8132 1299 115
si4_m4Dr6_m256.03 6 3 4 50 65
si4_m4Dr6_m256.06 6 8 170 154 4659
si4_m4Dr6_m256.09 6 3 173 38 1000000
si4_m4Dr6_m256.07 6 413 193 163 1366
si4_m4Dr6_m256.02 6 4 20 198 31
si4_m4Dr6_m256.04 6 62 226 68 1131
si2_b03m_m400.02 4 5 14 90 91
si2_b03m_m400.00 4 7 1000000 24 14
si2_b03m_m400.01 4 7 10 1000000 65
si2_b03m_m400.05 4 8 8 1000000 16
si2_b03m_m400.08 4 7 8 233 159
si2_b03m_m400.07 4 6 8 16 56
si2_b03m_m400.09 4 7 9 16 25
si2_b03m_m400.03 4 9 10 314 16
si2_b03m_m400.04 4 8 9695 48 140
si2_b03m_m400.06 4 7 11 11 12
si2_b03m_m200.05 4 1 3 7 3
si2_b03m_m200.03 4 1 2 2 2
si2_b03m_m200.00 4 1 42 510 2
si2_b03m_m200.08 4 1 55 2 3
si2_b03m_m200.06 4 1 8 2 2
si2_b03m_m200.02 4 1 2 3 2
si2_b03m_m200.09 4 1 17 2 2
si2_b03m_m200.04 4 1 1 3 5
si2_b03m_m200.01 4 1 1 7 3
si2_b03m_m200.07 4 1 1 2 2
si4_r001_m200.04 7 1148 1000000 1000000 1000000
si4_r001_m200.07 7 219 13739 1000000 83573
si4_r001_m200.00 7 208 21023 1000000 1000000
si4_r001_m200.01 7 16 4397 819529 1500
si4_r001_m200.03 7 74222 1072 1000000 1000000
si4_r001_m200.06 7 4 713 1000000 1000000
si4_r001_m200.05 7 82271 1000000 1000000 1000000
si4_r001_m200.08 7 4 43239 1000000 1000000
si4_r001_m200.09 7 6921 27172 1000000 328688
si4_r001_m200.02 7 1170 6160 714865 1000000
si2_m4D_m256.08 5 3 31 43 4064
si2_m4D_m256.03 5 2 10 230 343
si2_m4D_m256.02 5 9 3 7 179
si2_m4D_m256.06 5 2 20 215 375
si2_m4D_m256.04 5 2 3 60 98
si2_m4D_m256.07 5 2 35 7 33
si2_m4D_m256.01 5 2 10 183 353
si2_m4D_m256.09 5 5 10 764 1421
si2_m4D_m256.00 5 2 26 712 721
si2_m4D_m256.05 5 2 15 215 311
si6_r01_m400.04 7 216126 413389 343561 363884
si6_r01_m400.08 7 184137 40723 372311 338056
si6_r01_m400.07 7 139048 171433 804601 51860
si6_r01_m400.06 7 145743 73014 353802 111300
si6_r01_m400.05 7 585195 486568 257164 310222
si6_r01_m400.02 7 331610 223990 233306 477203
si6_r01_m400.00 7 491692 474923 696244 337721
si6_r01_m400.03 7 44101 82112 587252 385898
si6_r01_m400.01 7 137887 430209 50764 118984
si6_r01_m400.09 7 235815 202970 723742 623334
si2_m4Dr4_m625.07 6 1248 72 6245 5285
si2_m4Dr4_m625.02 6 17 2150 6054 10163
si2_m4Dr4_m625.03 6 16 34 59 166
si2_m4Dr4_m625.00 6 16 20 1784 1670
si2_m4Dr4_m625.05 6 15 25 58 110
si2_m4Dr4_m625.06 6 52778 150692 1000000 1000000
si2_m4Dr4_m625.09 6 1000000 204630 320676 1000000
si2_m4Dr4_m625.01 6 93 4383 60768 72971
si2_m4Dr4_m625.08 6 843 7277 18432 1000000
si2_m4Dr4_m625.04 6 470298 2749 1026 2959
si4_r01_m400.01 7 127023 663451 193002 461755
si4_r01_m400.08 7 606766 1000000 1000000 325371
si4_r01_m400.02 7 1000000 178869 459385 433227
si4_r01_m400.03 7 530684 640935 529311 1000000
si4_r01_m400.07 7 1000000 404826 987371 1000000
si4_r01_m400.06 7 134476 332411 1000000 428214
si4_r01_m400.04 7 1000000 535308 356443 772407
si4_r01_m400.00 7 1000000 682957 1000000 512692
si4_r01_m400.05 7 108961 349983 737308 311707
si4_r01_m400.09 7 304080 1000000 337333 189744
si2_b09m_m400.09 4 6 11 135339 1000000
si2_b09m_m400.03 4 6 83 280 30309
si2_b09m_m400.01 4 7 23297 335288 242
si2_b09m_m400.08 4 9 1000000 489358 1000000
si2_b09m_m400.05 4 6 395 5443 198
si2_b09m_m400.06 4 6 41 214 1000000
si2_b09m_m400.00 4 6 33 1435 924
si2_b09m_m400.02 4 9 1052 908 1000000
si2_b09m_m400.04 4 6 25 2311 598
si2_b09m_m400.07 4 6 10 273 1000000
si2_b09_m800.07 3 31 34 52 41
si2_b09_m800.04 3 31 53 43 184
si2_b09_m800.05 3 49 43 54 40
si2_b09_m800.00 3 32 42 31 46
si2_b09_m800.02 3 31 39 52 34
si2_b09_m800.01 3 45 42 48 54
si2_b09_m800.08 3 31 35 96 55
si2_b09_m800.09 3 32 52 33 65
si2_b09_m800.03 3 31 41 41 37
si2_b09_m800.06 3 32 49 52 32
si6_b03_m400.04 3 16 17 18 18
si6_b03_m400.09 3 16 16 27 28
si6_b03_m400.02 3 16 16 18 27
si6_b03_m400.06 3 16 16 17 18
si6_b03_m400.05 3 16 24 27 28
si6_b03_m400.08 3 16 16 18 27
si6_b03_m400.01 3 16 16 17 18
si6_b03_m400.07 3 16 23 27 27
si6_b03_m400.03 3 16 16 18 18
si6_b03_m400.00 3 16 17 18 28
si2_r005_m600.03 7 136184 101829 565549 1000000
si2_r005_m600.00 7 1000000 1000000 1000000 1000000
si2_r005_m600.06 7 1000000 1000000 1000000 569948
si2_r005_m600.01 7 1000000 1000000 1000000 1000000
si2_r005_m600.04 7 1000000 1000000 115569 1000000
si2_r005_m600.09 7 209215 440728 177852 1000000
si2_r005_m600.05 7 1000000 1000000 1000000 271891
si2_r005_m600.02 7 1000000 458037 1000000 1000000
si2_r005_m600.08 7 1000000 1000000 245371 1000000
si2_r005_m600.07 7 72368 1000000 1000000 558889
si4_r01_m600.05 7 1000000 1000000 1000000 1000000
si4_r01_m600.02 7 1000000 1000000 1000001 1000000
si4_r01_m600.03 7 1000001 1000000 1000000 1000000
si4_r01_m600.07 7 1000000 1000000 1000000 1000000
si4_r01_m600.08 7 1000000 1000000 1000000 1000000
si4_r01_m600.06 7 1000000 1000001 1000001 1000001
si4_r01_m600.01 7 1000000 1000000 1000000 1000000
si4_r01_m600.04 7 1000001 1000000 1000001 1000000
si4_r01_m600.00 7 1000001 1000001 1000000 1000000
si4_r01_m600.09 7 1000000 866768 1000000 1000000
si2_b09_m400.04 3 6 7 12 35
si2_b09_m400.08 3 6 9 13 28
si2_b09_m400.05 3 6 8 8 15
si2_b09_m400.01 3 6 9 9 17
si2_b09_m400.03 3 6 11 9 11
si2_b09_m400.02 3 6 10 24 11
si2_b09_m400.07 3 6 12 15 8
si2_b09_m400.09 3 6 8 14 15
si2_b09_m400.06 3 6 10 7 11
si2_b09_m400.00 3 6 7 9 10
si4_b06_m200.06 3 2 4 3 3
si4_b06_m200.03 3 3 2 3 3
si4_b06_m200.02 3 2 4 3 3
si4_b06_m200.07 3 2 3 3 3
si4_b06_m200.05 3 2 2 2 3
si4_b06_m200.08 3 2 3 3 4
si4_b06_m200.00 3 2 4 4 3
si4_b06_m200.04 3 2 3 3 3
si4_b06_m200.01 3 2 3 3 2
si4_b06_m200.09 3 2 2 3 3
si4_r005_m400.06 7 28560 560396 64809 132943
si4_r005_m400.03 7 45365 16168 100319 22765
si4_r005_m400.07 7 71319 18832 5050 66023
