instance family sequential-induced-nofilter-except-0 sequential-induced-nofilter-except-1 sequential-induced-nofilter-except-2 sequential-induced-nofilter-except-3
si4_b09_m400.09 3 5 7 6 7
si4_b06m_m400.06 4 170 162 174 158
si4_b06m_m400.03 4 206 189 155 176
si4_b06m_m400.01 4 144 169 184 152
si4_b06m_m400.08 4 148 175 282 189
si4_b06m_m400.05 4 232 164 188 147
si4_b06m_m400.07 4 138 1501 170 204
si4_b06m_m400.00 4 198 145 145 170
si4_b06m_m400.04 4 152 185 260 180
si4_b06m_m400.09 4 151 174 190 509
si4_b06m_m400.02 4 145 152 150 450
si2_m4Dr2_m625.05 6 377 3803 15191 4784
si2_m4Dr2_m625.00 6 899 1364 1000000 4009
si2_m4Dr2_m625.08 6 268 329 283 1088
si2_m4Dr2_m625.09 6 294 515 2881 10298
si2_m4Dr2_m625.06 6 2504 2010 13571 8274
si2_m4Dr2_m625.04 6 507 24120 1000000 1000000
si2_m4Dr2_m625.01 6 920 1709 187 5555
si2_m4Dr2_m625.03 6 1345 205 2377 110694
si2_m4Dr2_m625.02 6 613 491 37718 11227
si2_m4Dr2_m625.07 6 275 343 3787 15752
si2_r005_m200.02 7 159 1351 24024 13590
si2_r005_m200.01 7 34342 52588 1000000 1000000
si2_r005_m200.03 7 464 87374 1000000 25827
si2_r005_m200.05 7 6637 2282 20887 38557
si2_r005_m200.08 7 3593 54197 133711 1000000
si2_r005_m200.04 7 132 33 184422 764
si2_r005_m200.09 7 2187 774279 1000000 1000000
si2_r005_m200.06 7 627 195 5362 43002
si2_r005_m200.00 7 2015 37210 5389 108852
si2_r005_m200.07 7 358 371 4301 24456
si4_b03m_m400.03 4 165 221 169 190
si4_b03m_m400.09 4 203 167 765 180
si4_b03m_m400.08 4 186 174 152 183
si4_b03m_m400.04 4 153 217 146 190
si4_b03m_m400.00 4 145 200 168 221
si4_b03m_m400.01 4 242 164 620 170
si4_b03m_m400.07 4 162 179 143 182
si4_b03m_m400.02 4 216 149 157 3239
si4_b03m_m400.06 4 150 179 964 439
si4_b03m_m400.05 4 164 161 1987 298
si2_r01_m600.01 7 1000000 1000000 1000000 1000000
si2_r01_m600.06 7 1000000 1000000 1000000 603649
si2_r01_m600.09 7 1000000 1000000 1000000 900210
si2_r01_m600.08 7 1000000 1000000 1000000 1000000
si2_r01_m600.04 7 1000000 1000000 1000000 1000000
si2_r01_m600.02 7 1000000 1000000 1000000 1000000
si2_r01_m600.00 7 1000000 1000000 1000000 1000000
si2_r01_m600.07 7 1000000 1000000 1000000 1000000
si2_r01_m600.03 7 1000000 1000000 1000000 1000000
si2_r01_m600.05 7 1000000 1000000 1000000 1000000
si4_m4Dr6_m256.01 6 43 46 309 210
si4_m4Dr6_m256.00 6 120 366 86 11592
si4_m4Dr6_m256.05 6 224 411 66 666
si4_m4Dr6_m256.08 6 69 31 1140 80
si4_m4Dr6_m256.03 6 51 45 63 322
si4_m4Dr6_m256.06 6 72 314 111 1652
si4_m4Dr6_m256.09 6 43 118 60 1021
si4_m4Dr6_m256.07 6 1472 157 7082 35
si4_m4Dr6_m256.02 6 59 208 153 77
si4_m4Dr6_m256.04 6 225 241 83 7931
si2_b03m_m400.02 4 58 100 232112 88
si2_b03m_m400.00 4 92 241264 169 110
si2_b03m_m400.01 4 59 3809 1000000 76
si2_b03m_m400.05 4 127 77 1000000 74
si2_b03m_m400.08 4 63 113 312 148
si2_b03m_m400.07 4 67 59 111 69
si2_b03m_m400.09 4 60 73 94 67
si2_b03m_m400.03 4 65 60 350 10
si2_b03m_m400.04 4 61 3978 264 152
si2_b03m_m400.06 4 62 67 10 9
si2_b03m_m200.05 4 8 9 4 8
si2_b03m_m200.03 4 10 9 2 2
si2_b03m_m200.00 4 11 1 1 2
si2_b03m_m200.08 4 10 53 1 8
si2_b03m_m200.06 4 8 20 1 1
si2_b03m_m200.02 4 11 13 1 1
si2_b03m_m200.09 4 8 24 1 2
si2_b03m_m200.04 4 8 1163 9 5
si2_b03m_m200.01 4 12 9 9 4
si2_b03m_m200.07 4 8 9 1 1
si4_r001_m200.04 7 839 321699 1000000 1000000
si4_r001_m200.07 7 1518 1134 4722 1555
si4_r001_m200.00 7 16 136 34761 993542
si4_r001_m200.01 7 184 204 3446 21568
si4_r001_m200.03 7 11767 219 1000000 50598
si4_r001_m200.06 7 17 637 2605 144649
si4_r001_m200.05 7 588 1000000 71 1000000
si4_r001_m200.08 7 28 656 144358 66862
si4_r001_m200.09 7 43325 5883 154754 5036
si4_r001_m200.02 7 856 1543 12784 172987
si2_m4D_m256.08 5 20 147 148 184
si2_m4D_m256.03 5 11 143 214 276
si2_m4D_m256.02 5 17 136 242 508
si2_m4D_m256.06 5 21 130 224 271
si2_m4D_m256.04 5 14 132 133 190
si2_m4D_m256.07 5 27 164 221 470
si2_m4D_m256.01 5 11 119 200 244
si2_m4D_m256.09 5 23 23 550 1438
si2_m4D_m256.00 5 16 111 393 361
si2_m4D_m256.05 5 17 119 218 242
si6_r01_m400.04 7 164066 285803 246611 311856
si6_r01_m400.08 7 142523 38257 299957 272281
si6_r01_m400.07 7 128826 166887 332187 48577
si6_r01_m400.06 7 147156 59140 275930 94872
si6_r01_m400.05 7 327879 344058 198299 207467
si6_r01_m400.02 7 229730 202766 189932 260856
si6_r01_m400.00 7 325693 299789 405288 271440
si6_r01_m400.03 7 39456 70642 339520 302806
si6_r01_m400.01 7 129274 321221 37328 95828
si6_r01_m400.09 7 183358 201972 408258 429746
si2_m4Dr4_m625.07 6 1589 327 4627 7415
si2_m4Dr4_m625.02 6 241 3857 13775 3476
si2_m4Dr4_m625.03 6 308 254 1047 2132
si2_m4Dr4_m625.00 6 256 1782 332 444
si2_m4Dr4_m625.05 6 250 243 807 8564
