instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd
si2_r001_m600.08 7 990120 46187 990022 107563 990004 46319 990004 49330 989968 46283 989968 46470 990155 46395 990155 46395
si2_r001_m600.03 7 990188 45237 989883 105145 990068 45536 990068 47205 990037 45569 990037 45681 990037 45281 990037 45281
si2_r001_m600.01 7 990028 47422 989867 115084 990086 47916 989856 51502 990085 47855 990085 48152 990060 48208 990060 48208
si2_r001_m600.05 7 990113 48584 989873 121047 990027 48635 990027 52751 990008 49088 990008 49406 990013 48791 990013 48791
si2_r001_m600.09 7 989802 48096 989879 117471 990253 48142 990253 50303 990051 48056 990051 48147 989979 48591 989979 48591
si2_m4Dr2_m256.09 6 975456 85442 974053 202195 976169 88017 976169 155559 976554 90291 976554 91385 976537 91162 976537 91162
si2_m4Dr2_m256.03 6 975181 79919 975070 206117 975885 76852 975885 126144 976677 80854 976677 80854 976777 82636 976777 82636
si2_m4Dr2_m256.04 6 975125 87616 975112 229317 975978 90465 975978 159665 976592 92843 976592 92843 976826 94867 976826 94867
si2_m4Dr2_m256.07 6 965426 83870 965171 211211 974686 70199 974686 97607 975890 73085 975890 73085 976632 77977 976632 77977
si2_m4Dr2_m256.00 6 974268 88468 973857 222840 976085 81278 976085 137631 976434 84823 976434 84823 976609 87033 976609 87033
si2_m4Dr2_m256.06 6 975504 78727 975301 197717 976243 77824 976243 123483 976473 81284 976473 81284 976824 82890 976824 82890
si2_m4Dr2_m256.08 6 967488 73806 966145 202534 975021 68594 975021 97875 975850 74671 975850 75023 976552 79664 976552 79664
si2_m4Dr2_m256.05 6 966549 94290 965920 233958 974072 80730 974072 123294 975539 84295 975539 84295 976565 89013 976565 89013
si2_m4Dr2_m256.01 6 973991 83192 972255 202821 975967 76794 975967 124645 976461 80914 976461 82285 976586 82715 976586 82715
si2_m4Dr2_m256.02 6 970324 86357 970452 221370 975094 76345 975094 112942 975987 81976 975987 81976 976797 86649 976797 86649
si6_r001_m600.09 7 995428 38706 995346 122970 995455 38896 995455 44956 995457 38796 995457 39159 995458 38992 995458 39030
si6_r001_m600.00 7 995500 38924 995348 125355 995474 38709 995474 44418 995554 39285 995554 39501 995500 38912 995500 38912
si6_r001_m600.07 7 995362 39577 995153 128656 995468 39404 995468 45631 995546 39739 995546 40099 995574 39696 995574 39696
si6_r001_m600.03 7 995470 39546 995287 131352 995381 39482 995381 45416 995604 39363 995604 39669 995449 39367 995449 39377
si6_r001_m600.01 7 995357 38860 995355 128757 995361 38767 995361 44886 995422 38794 995422 38999 995521 39085 995521 39085
si6_r001_m600.06 7 995193 39230 995232 127761 995480 39476 995480 45587 995517 39126 995517 39464 995588 39358 995588 39366
si6_r001_m600.08 7 995365 39253 995314 130558 995445 39406 995445 45188 995523 39725 995523 40004 995467 39280 995467 39288
si6_r001_m600.02 7 995369 38942 995247 130485 995500 39278 995352 45029 995479 39619 995479 39943 995542 39599 995542 39622
si6_r001_m600.04 7 995406 39667 995261 125741 995447 39256 995414 45551 995450 39448 995450 39779 995639 39192 995639 39192
si6_r001_m600.05 7 995429 39809 995156 129632 995274 39902 995465 45947 995477 39734 995477 40126 995542 40105 995542 40110
si2_m4Dr2_m1296.05 6 993946 17537 993173 50280 994987 16480 994987 25658 995129 17734 995129 17766 995307 18501 995307 18501
si2_m4Dr2_m1296.09 6 994038 18012 993634 54163 994900 16530 994900 26229 995139 17193 995139 17193 995360 18042 995360 18042
si2_m4Dr2_m1296.02 6 994571 16532 994285 48405 995148 16099 995148 24382 995272 16479 995272 16479 995406 17250 995406 17250
si2_m4Dr2_m1296.07 6 993846 18822 993282 53100 994865 17206 994786 27314 995226 17471 995226 17471 995238 18320 995238 18320
si2_m4Dr2_m1296.00 6 993275 17791 992597 56502 994598 16929 994598 25971 995153 17627 995153 17717 995256 18322 995256 18322
si2_m4Dr2_m1296.06 6 994624 16669 994285 47718 995029 16385 995029 25507 995353 17154 995353 17391 995144 17766 995144 17766
si2_m4Dr2_m1296.08 6 994239 16319 994176 47318 995211 15853 995211 24279 995169 16870 995169 16938 995331 17506 995331 17506
si2_m4Dr2_m1296.01 6 994858 17391 994714 50424 995254 17221 995254 28409 995081 17751 995081 17829 995320 18490 995320 18490
si2_m4Dr2_m1296.03 6 993877 19320 993254 56365 994895 16324 994895 26301 995150 17099 995150 17110 995305 17752 995305 17752
si2_m4Dr2_m1296.04 6 993034 17986 992184 53148 994706 16219 994706 25603 995170 17480 995170 17480 995202 18858 995202 18858
si4_b06m_m800.08 4 993946 18900 991365 41494 995134 18236 995239 21252 995499 18772 995499 19533 995446 18874 995446 18898
si4_b06m_m800.00 4 993790 19818 991372 42772 995296 18607 995221 22654 995448 18840 995448 19886 995468 19124 995468 19212
si4_b06m_m800.06 4 993270 20201 991627 40999 995121 18256 995249 21820 995344 18385 995344 19342 995441 18752 995441 18872
si4_b06m_m800.05 4 993677 21627 992174 44537 995101 19001 995160 23499 995475 19141 995475 20277 995497 19447 995497 19572
si4_b06m_m800.04 4 993549 22915 991605 45263 995305 18936 995201 23439 995465 19149 995465 20641 995527 19141 995527 19218
si4_b06m_m800.09 4 993596 19632 991668 44322 995174 17888 995088 21287 995540 17794 995540 18705 995480 18523 995480 18592
si4_b06m_m800.01 4 993950 20852 992393 41404 995294 19164 995315 23002 995410 19312 995410 20477 995481 19337 995481 19405
si4_b06m_m800.07 4 993743 18932 991491 42507 995262 18274 995258 21642 995530 18320 995530 18926 995553 18422 995553 18526
si4_b06m_m800.03 4 994303 17225 990153 45575 995401 17719 995354 20534 995382 17996 995382 18563 995479 18143 995479 18161
si4_b06m_m800.02 4 994269 19081 992642 39340 995298 18770 995250 22338 995581 18918 995581 19827 995341 19323 995341 19371
si6_m4Dr2_m625.08 6 994378 24313 994036 56072 995287 21769 995287 32730 995571 21380 995571 21392 995669 21637 995669 21637
si6_m4Dr2_m625.09 6 994586 22864 994077 51572 995435 20643 995435 30819 995449 20677 995449 20677 995647 20985 995647 20985
si6_m4Dr2_m625.05 6 994693 22592 994206 51994 995452 20978 995452 31351 995703 20982 995703 21014 995664 20983 995664 20983
