instance family sequential-nofilter-except-0 sequential-nofilter-except-1 sequential-nofilter-except-2 sequential-nofilter-except-3
si2_b09_m200.03 3 0 1 4 2
si2_b09_m200.04 3 0 1 3 1
si2_b09_m200.09 3 0 1 0 2
si2_b09_m200.07 3 0 1 1 1
si6_r01_m600.02 7 1000000 1000000 1000001 1000000
si6_r01_m600.06 7 1000001 1000000 1000000 1000001
si6_r01_m600.09 7 1000001 1000000 1000001 1000000
si6_r01_m600.08 7 1000001 1000001 706932 1000001
si6_r01_m600.05 7 1000000 1000000 1000000 1000000
si6_r01_m600.07 7 1000001 1000000 1000001 1000000
si6_r01_m600.03 7 1000001 1000001 1000001 997082
si6_r01_m600.00 7 516614 1000000 1000000 1000001
si6_r01_m600.01 7 1000000 1000001 1000001 1000000
si6_r01_m600.04 7 1000000 1000000 1000000 1000001
si2_b06_m200.02 3 0 1 1 1
si2_b06_m200.00 3 0 1 1 1
si2_b06_m200.01 3 0 0 1 1
si2_b06_m200.06 3 0 1 0 0
si2_b06_m200.09 3 0 1 1 1
si2_b06_m200.07 3 0 0 1 1
si2_b06_m200.04 3 0 1 1 1
si2_b06_m200.08 3 0 0 0 1
si2_b06_m200.03 3 0 1 1 1
si2_b06_m200.05 3 0 0 0 1
si6_m4Dr2_m1296.05 6 7570 8169 53246 49291
si6_m4Dr2_m1296.09 6 12164 18594 7353 35339
si6_m4Dr2_m1296.01 6 7447 30940 8108 9349
si6_m4Dr2_m1296.06 6 7642 13461 62466 1000006
si6_m4Dr2_m1296.07 6 10026 13503 19451 150932
si6_m4Dr2_m1296.03 6 7022 7797 8726 9653
si6_m4Dr2_m1296.04 6 8077 13643 17004 12185
si6_m4Dr2_m1296.00 6 8019 32476 1000002 1000007
si6_m4Dr2_m1296.08 6 7274 9534 9043 58860
si6_m4Dr2_m1296.02 6 8400 7772 9950 12207
si2_b09m_m800.09 4 953 151761 1000000 1000001
si2_b09m_m800.07 4 470 518 1000000 1000000
si2_b09m_m800.00 4 538 534 672 79895
si2_b09m_m800.04 4 460 2366 1000000 1728
si2_b09m_m800.02 4 454 867 8005 1000000
si2_b09m_m800.05 4 627 1002 1000000 2243
si2_b09m_m800.03 4 472 676 1000000 2669
si2_b09m_m800.08 4 2566 1000000 21714 1000001
si2_b09m_m800.06 4 600 4936 34557 1000000
si2_b09m_m800.01 4 609 497 1000000 123832
si4_b03_m400.01 3 3 5 5 5
si4_b03_m400.02 3 5 5 7 6
si4_b03_m400.05 3 5 4 5 6
si4_b03_m400.07 3 3 5 6 6
si4_b03_m400.06 3 3 5 5 6
si4_b03_m400.00 3 3 6 6 6
si4_b03_m400.03 3 3 4 5 6
si4_b03_m400.04 3 4 5 8 6
si4_b03_m400.09 3 3 4 5 6
si4_b03_m400.08 3 5 5 6 6
si2_b03_m200.05 3 0 0 0 0
si2_b03_m200.09 3 0 0 0 1
si2_b03_m200.07 3 0 1 0 1
si2_b03_m200.01 3 0 0 1 0
si2_b03_m200.08 3 0 1 1 0
si2_b03_m200.02 3 0 0 0 0
si2_b03_m200.04 3 0 0 1 1
si2_b03_m200.03 3 0 0 0 0
si2_b03_m200.06 3 0 0 1 0
si2_b03_m200.00 3 0 0 1 1
si4_r005_m600.00 7 278629 1000000 42034 1000000
si4_r005_m600.02 7 45110 257200 397205 1000000
si4_r005_m600.08 7 300156 417940 209637 582433
si4_r005_m600.05 7 153116 57221 412488 62438
si4_r005_m600.07 7 108762 1000000 552637 419961
si4_r005_m600.06 7 1000000 294505 365923 302053
si4_r005_m600.01 7 281134 1000000 135229 179218
si4_r005_m600.04 7 197132 144057 682901 467429
si4_r005_m600.03 7 104009 99746 210435 115949
si4_r005_m600.09 7 52957 136467 1000000 865809
si4_b09_m400.05 3 5 6 17 32
si4_b09_m400.03 3 4 10 7 42
si4_b09_m400.00 3 6 9 11 5
si4_b09_m400.07 3 4 14 22 12
si4_b09_m400.01 3 4 6 5 21
si4_b09_m400.06 3 4 14 22 19
si4_b09_m400.04 3 4 17 14 123
si4_b09_m400.02 3 4 16 14 26
si4_b09_m400.08 3 7 8 5 13
si4_b09_m400.09 3 4 17 12 7
si4_b06m_m400.06 4 170 141 197 187
si4_b06m_m400.03 4 159 218 157 289
si4_b06m_m400.01 4 204 158 186 164
si4_b06m_m400.08 4 159 176 392 184
si4_b06m_m400.05 4 229 188 619 4716
si4_b06m_m400.07 4 137 5278 245 820
si4_b06m_m400.00 4 143 145 149 292
si4_b06m_m400.04 4 154 182 263 196
si4_b06m_m400.09 4 152 295 215 281536
si4_b06m_m400.02 4 144 153 154 5018
si2_m4Dr2_m625.05 6 411 5611 35925 5830
si2_m4Dr2_m625.00 6 14783 3948 1000000 63197
si2_m4Dr2_m625.08 6 292 378 260 1113
si2_m4Dr2_m625.09 6 293 704 3874 26204
si2_m4Dr2_m625.06 6 5579 4513 609545 23980
si2_m4Dr2_m625.04 6 535 1000000 1000000 1000000
si2_m4Dr2_m625.01 6 1012 1428 184 18619
si2_m4Dr2_m625.03 6 2709 199 3065 1000000
si2_m4Dr2_m625.02 6 626 1163 1000000 1000000
si2_m4Dr2_m625.07 6 354 1112 9118 54083
si2_r005_m200.02 7 191 6880 255473 805
si2_r005_m200.01 7 157030 35 9 3
si2_r005_m200.03 7 391 263 11 1
si2_r005_m200.05 7 18553 10375 424550 2819
si2_r005_m200.08 7 90511 143 1 2
si2_r005_m200.04 7 2950 91 1305 5
si2_r005_m200.09 7 208 73 1771 1
si2_r005_m200.06 7 2860 310 93 18
si2_r005_m200.00 7 6638 4720 68 3
si2_r005_m200.07 7 1919 629 84 5
si4_b03m_m400.03 4 147 371 171 193
si4_b03m_m400.09 4 243 142 2027 168
si4_b03m_m400.08 4 170 234 3291 1000000
si4_b03m_m400.04 4 169 182 144 206
si4_b03m_m400.00 4 186 249 148 1000000
si4_b03m_m400.01 4 167 161 2843 183
si4_b03m_m400.07 4 209 252 144 342
si4_b03m_m400.02 4 183 147 155 41245
si4_b03m_m400.06 4 145 315 4511 2332
si4_b03m_m400.05 4 141 160 4342 2108
si2_r01_m600.01 7 1000000 1000000 1000000 1000000
si2_r01_m600.06 7 1000000 1000000 1000000 817436
si2_r01_m600.09 7 1000000 1000000 1000000 1000000
si2_r01_m600.08 7 1000000 1000000 1000000 1000000
si2_r01_m600.04 7 1000000 1000000 1000000 1000000
si2_r01_m600.02 7 1000000 1000000 1000000 1000000
si2_r01_m600.00 7 1000000 1000000 1000000 1000000
si2_r01_m600.07 7 1000000 1000000 1000000 1000000
si2_r01_m600.03 7 1000000 1000000 1000000 1000000
si2_r01_m600.05 7 1000000 1000000 1000000 1000000
si4_m4Dr6_m256.01 6 47 54 390 236
si4_m4Dr6_m256.00 6 336 542 395 1000000
si4_m4Dr6_m256.05 6 203 942 74 1767
si4_m4Dr6_m256.08 6 107 30 1404 132
si4_m4Dr6_m256.03 6 63 44 58 342
si4_m4Dr6_m256.06 6 66 431 111 4912
si4_m4Dr6_m256.09 6 42 159 60 1000000
si4_m4Dr6_m256.07 6 18641 364 292191 34
