instance family
si2_b09_m200.06 3 8
si2_b09_m200.05 3 5
si2_b09_m200.00 3 5
si2_b09_m200.02 3 5
si2_b09_m200.03 3 7
si2_b09_m200.04 3 5
si2_b09_m200.09 3 5
si2_b09_m200.07 3 5
si6_r01_m600.02 7 1000001
si6_r01_m600.06 7 1000000
si6_r01_m600.09 7 993659
si6_r01_m600.08 7 1000001
si6_r01_m600.05 7 1000001
si6_r01_m600.07 7 1000001
si6_r01_m600.03 7 1000001
si6_r01_m600.00 7 507187
si6_r01_m600.01 7 1000001
si6_r01_m600.04 7 1000000
si2_b06_m200.02 3 4
si2_b06_m200.00 3 4
si2_b06_m200.01 3 4
si2_b06_m200.06 3 4
si2_b06_m200.09 3 4
si2_b06_m200.07 3 4
si2_b06_m200.04 3 4
si2_b06_m200.08 3 4
si2_b06_m200.03 3 4
si2_b06_m200.05 3 4
si6_m4Dr2_m1296.05 6 837
si6_m4Dr2_m1296.09 6 932
si6_m4Dr2_m1296.01 6 859
si6_m4Dr2_m1296.06 6 1110
si6_m4Dr2_m1296.07 6 946
si6_m4Dr2_m1296.03 6 1106
si6_m4Dr2_m1296.04 6 844
si6_m4Dr2_m1296.00 6 918
si6_m4Dr2_m1296.08 6 874
si6_m4Dr2_m1296.02 6 842
si2_b09m_m800.09 4 110
si2_b09m_m800.07 4 102
si2_b09m_m800.00 4 144
si2_b09m_m800.04 4 100
si2_b09m_m800.02 4 100
si2_b09m_m800.05 4 134
si2_b09m_m800.03 4 107
si2_b09m_m800.08 4 100
si2_b09m_m800.06 4 101
si2_b09m_m800.01 4 119
si4_b03_m400.01 3 41
si4_b03_m400.02 3 41
si4_b03_m400.05 3 32
si4_b03_m400.07 3 32
si4_b03_m400.06 3 32
si4_b03_m400.00 3 32
si4_b03_m400.03 3 32
si4_b03_m400.04 3 32
si4_b03_m400.09 3 32
si4_b03_m400.08 3 32
si2_b03_m200.05 3 3
si2_b03_m200.09 3 3
si2_b03_m200.07 3 3
si2_b03_m200.01 3 3
si2_b03_m200.08 3 3
si2_b03_m200.02 3 3
si2_b03_m200.04 3 3
si2_b03_m200.03 3 3
si2_b03_m200.06 3 3
si2_b03_m200.00 3 3
si4_r005_m600.00 7 228260
si4_r005_m600.02 7 40198
si4_r005_m600.08 7 262283
si4_r005_m600.05 7 127067
si4_r005_m600.07 7 94803
si4_r005_m600.06 7 564474
si4_r005_m600.01 7 222566
si4_r005_m600.04 7 164337
si4_r005_m600.03 7 83866
si4_r005_m600.09 7 45841
si4_b09_m400.05 3 42
si4_b09_m400.03 3 41
si4_b09_m400.00 3 49
si4_b09_m400.07 3 40
si4_b09_m400.01 3 40
si4_b09_m400.06 3 41
si4_b09_m400.04 3 54
si4_b09_m400.02 3 40
si4_b09_m400.08 3 57
si4_b09_m400.09 3 58
si4_b06m_m400.06 4 40
si4_b06m_m400.03 4 37
si4_b06m_m400.01 4 38
si4_b06m_m400.08 4 42
si4_b06m_m400.05 4 34
si4_b06m_m400.07 4 30
si4_b06m_m400.00 4 41
si4_b06m_m400.04 4 30
si4_b06m_m400.09 4 30
si4_b06m_m400.02 4 38
si2_m4Dr2_m625.05 6 47
si2_m4Dr2_m625.00 6 101
si2_m4Dr2_m625.08 6 43
si2_m4Dr2_m625.09 6 58
si2_m4Dr2_m625.06 6 49
si2_m4Dr2_m625.04 6 48
si2_m4Dr2_m625.01 6 54
si2_m4Dr2_m625.03 6 60
si2_m4Dr2_m625.02 6 50
si2_m4Dr2_m625.07 6 49
si2_r005_m200.02 7 66
si2_r005_m200.01 7 31874
si2_r005_m200.03 7 127
si2_r005_m200.05 7 37859
si2_r005_m200.08 7 35131
si2_r005_m200.04 7 1320
si2_r005_m200.09 7 67
si2_r005_m200.06 7 967
si2_r005_m200.00 7 8725
si2_r005_m200.07 7 161
si4_b03m_m400.03 4 24
si4_b03m_m400.09 4 24
si4_b03m_m400.08 4 25
si4_b03m_m400.04 4 25
si4_b03m_m400.00 4 24
si4_b03m_m400.01 4 26
si4_b03m_m400.07 4 31
si4_b03m_m400.02 4 29
si4_b03m_m400.06 4 27
si4_b03m_m400.05 4 25
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000000
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000000
si4_m4Dr6_m256.01 6 10
si4_m4Dr6_m256.00 6 16
si4_m4Dr6_m256.05 6 15
si4_m4Dr6_m256.08 6 12
si4_m4Dr6_m256.03 6 14
si4_m4Dr6_m256.06 6 10
si4_m4Dr6_m256.09 6 11
si4_m4Dr6_m256.07 6 27
si4_m4Dr6_m256.02 6 15
si4_m4Dr6_m256.04 6 11
si2_b03m_m400.02 4 15
si2_b03m_m400.00 4 14
si2_b03m_m400.01 4 20
si2_b03m_m400.05 4 14
si2_b03m_m400.08 4 15
si2_b03m_m400.07 4 15
si2_b03m_m400.09 4 15
si2_b03m_m400.03 4 16
si2_b03m_m400.04 4 16
si2_b03m_m400.06 4 16
si2_b03m_m200.05 4 4
si2_b03m_m200.03 4 3
si2_b03m_m200.00 4 3
si2_b03m_m200.08 4 4
si2_b03m_m200.06 4 3
si2_b03m_m200.02 4 4
si2_b03m_m200.09 4 4
si2_b03m_m200.04 4 4
si2_b03m_m200.01 4 3
si2_b03m_m200.07 4 3
si4_r001_m200.04 7 7
si4_r001_m200.07 7 7
si4_r001_m200.00 7 6
si4_r001_m200.01 7 9
si4_r001_m200.03 7 7
si4_r001_m200.06 7 6
si4_r001_m200.05 7 7
si4_r001_m200.08 7 6
si4_r001_m200.09 7 35
si4_r001_m200.02 7 12
si2_m4D_m256.08 5 6
si2_m4D_m256.03 5 6
si2_m4D_m256.02 5 8
si2_m4D_m256.06 5 6
si2_m4D_m256.04 5 8
si2_m4D_m256.07 5 6
si2_m4D_m256.01 5 8
si2_m4D_m256.09 5 6
si2_m4D_m256.00 5 6
si2_m4D_m256.05 5 6
si6_r01_m400.04 7 224567
si6_r01_m400.08 7 190636
si6_r01_m400.07 7 143043
si6_r01_m400.06 7 147884
si6_r01_m400.05 7 602693
si6_r01_m400.02 7 342306
si6_r01_m400.00 7 508866
si6_r01_m400.03 7 45494
si6_r01_m400.01 7 141205
si6_r01_m400.09 7 243084
si2_m4Dr4_m625.07 6 58
si2_m4Dr4_m625.02 6 50
si2_m4Dr4_m625.03 6 64
si2_m4Dr4_m625.00 6 46
si2_m4Dr4_m625.05 6 48
si2_m4Dr4_m625.06 6 53
si2_m4Dr4_m625.09 6 9962
si2_m4Dr4_m625.01 6 53
si2_m4Dr4_m625.08 6 86
si2_m4Dr4_m625.04 6 213
si4_r01_m400.01 7 130248
si4_r01_m400.08 7 630902
si4_r01_m400.02 7 1000000
si4_r01_m400.03 7 553025
si4_r01_m400.07 7 1000000
si4_r01_m400.06 7 138767
si4_r01_m400.04 7 1000000
si4_r01_m400.00 7 1000000
si4_r01_m400.05 7 113748
si4_r01_m400.09 7 318087
si2_b09m_m400.09 4 22
si2_b09m_m400.03 4 31
si2_b09m_m400.01 4 22
si2_b09m_m400.08 4 23
si2_b09m_m400.05 4 22
si2_b09m_m400.06 4 22
si2_b09m_m400.00 4 22
si2_b09m_m400.02 4 32
si2_b09m_m400.04 4 22
si2_b09m_m400.07 4 30
si2_b09_m800.07 3 108
si2_b09_m800.04 3 132
si2_b09_m800.05 3 108
si2_b09_m800.00 3 138
si2_b09_m800.02 3 108
si2_b09_m800.01 3 108
si2_b09_m800.08 3 108
si2_b09_m800.09 3 108
si2_b09_m800.03 3 159
si2_b09_m800.06 3 109
si6_b03_m400.04 3 51
si6_b03_m400.09 3 61
si6_b03_m400.02 3 63
si6_b03_m400.06 3 51
si6_b03_m400.05 3 64
si6_b03_m400.08 3 64
si6_b03_m400.01 3 51
si6_b03_m400.07 3 51
si6_b03_m400.03 3 51
si6_b03_m400.00 3 51
si2_r005_m600.03 7 101576
si2_r005_m600.00 7 1000000
si2_r005_m600.06 7 942531
si2_r005_m600.01 7 1000000
si2_r005_m600.04 7 1000000
si2_r005_m600.09 7 172512
si2_r005_m600.05 7 1000000
si2_r005_m600.02 7 1000000
si2_r005_m600.08 7 452806
si2_r005_m600.07 7 15168
si4_r01_m600.05 7 1000000
si4_r01_m600.02 7 1000000
si4_r01_m600.03 7 1000001
si4_r01_m600.07 7 1000000
si4_r01_m600.08 7 1000000
si4_r01_m600.06 7 1000001
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000000
si4_r01_m600.00 7 1000001
si4_r01_m600.09 7 1000000
si2_b09_m400.04 3 23
si2_b09_m400.08 3 23
si2_b09_m400.05 3 23
si2_b09_m400.01 3 32
si2_b09_m400.03 3 23
si2_b09_m400.02 3 32
si2_b09_m400.07 3 23
si2_b09_m400.09 3 24
si2_b09_m400.06 3 33
si2_b09_m400.00 3 23
si4_b06_m200.06 3 10
si4_b06_m200.03 3 7
si4_b06_m200.02 3 7
si4_b06_m200.07 3 10
si4_b06_m200.05 3 7
si4_b06_m200.08 3 7
si4_b06_m200.00 3 7
si4_b06_m200.04 3 7
si4_b06_m200.01 3 10
si4_b06_m200.09 3 7
si4_r005_m400.06 7 35371
si4_r005_m400.03 7 4700
si4_r005_m400.07 7 34823
si4_r005_m400.01 7 9469
si4_r005_m400.04 7 17064
si4_r005_m400.00 7 19468
si4_r005_m400.09 7 7808
si4_r005_m400.05 7 8216
si4_r005_m400.08 7 5459
si4_r005_m400.02 7 10518
si4_m4Dr2_m1296.07 6 540
si4_m4Dr2_m1296.00 6 536
si4_m4Dr2_m1296.05 6 585
si4_m4Dr2_m1296.04 6 562
si4_m4Dr2_m1296.08 6 673
si4_m4Dr2_m1296.01 6 536
si4_m4Dr2_m1296.06 6 683
si4_m4Dr2_m1296.02 6 683
si4_m4Dr2_m1296.03 6 605
si4_m4Dr2_m1296.09 6 582
si6_b09_m800.03 3 349
si6_b09_m800.09 3 358
si6_b09_m800.07 3 341
si6_b09_m800.05 3 341
si6_b09_m800.04 3 340
si6_b09_m800.01 3 354
si6_b09_m800.00 3 340
si6_b09_m800.02 3 340
si6_b09_m800.06 3 341
si6_b09_m800.08 3 350
si6_b06m_m400.00 4 43
si6_b06m_m400.08 4 41
si6_b06m_m400.03 4 41
si6_b06m_m400.04 4 42
si6_b06m_m400.06 4 41
si6_b06m_m400.07 4 40
si6_b06m_m400.09 4 42
si6_b06m_m400.02 4 41
si6_b06m_m400.01 4 40
si6_b06m_m400.05 4 41
si2_m4Dr4_m1296.08 6 324
si2_m4Dr4_m1296.07 6 429
si2_m4Dr4_m1296.03 6 534
si2_m4Dr4_m1296.05 6 348
si2_m4Dr4_m1296.06 6 290
si2_m4Dr4_m1296.04 6 314
si2_m4Dr4_m1296.09 6 303
si2_m4Dr4_m1296.01 6 310
si2_m4Dr4_m1296.00 6 314
si2_m4Dr4_m1296.02 6 349
si6_m4Dr6_m1296.02 6 953
si6_m4Dr6_m1296.08 6 1066
si6_m4Dr6_m1296.07 6 917
si6_m4Dr6_m1296.06 6 924
si6_m4Dr6_m1296.03 6 960
si6_m4Dr6_m1296.04 6 955
si6_m4Dr6_m1296.05 6 987
si6_m4Dr6_m1296.00 6 925
si6_m4Dr6_m1296.09 6 900
si6_m4Dr6_m1296.01 6 920
si4_m4Dr2_m256.00 6 12
si4_m4Dr2_m256.01 6 9
si4_m4Dr2_m256.05 6 12
si4_m4Dr2_m256.04 6 9
si4_m4Dr2_m256.08 6 9
si4_m4Dr2_m256.07 6 10
si4_m4Dr2_m256.06 6 13
si4_m4Dr2_m256.02 6 9
si4_m4Dr2_m256.09 6 9
si4_m4Dr2_m256.03 6 9
si4_b09m_m200.01 4 8
si4_b09m_m200.00 4 8
si4_b09m_m200.03 4 8
si4_b09m_m200.06 4 8
si4_b09m_m200.02 4 8
si4_b09m_m200.04 4 11
si4_b09m_m200.05 4 8
si4_b09m_m200.07 4 8
si4_b09m_m200.08 4 8
si4_b09m_m200.09 4 11
si4_m4Dr4_m625.07 6 105
si4_m4Dr4_m625.05 6 97
si4_m4Dr4_m625.01 6 82
si4_m4Dr4_m625.08 6 89
si4_m4Dr4_m625.09 6 86
si4_m4Dr4_m625.00 6 89
si4_m4Dr4_m625.04 6 99
si4_m4Dr4_m625.06 6 87
si4_m4Dr4_m625.03 6 86
si4_m4Dr4_m625.02 6 84
si4_m4Dr4_m1296.03 6 585
si4_m4Dr4_m1296.01 6 667
si4_m4Dr4_m1296.00 6 674
si4_m4Dr4_m1296.07 6 567
si4_m4Dr4_m1296.02 6 612
si4_m4Dr4_m1296.04 6 588
si4_m4Dr4_m1296.09 6 603
si4_m4Dr4_m1296.06 6 611
si4_m4Dr4_m1296.08 6 572
si4_m4Dr4_m1296.05 6 836
si2_r005_m400.05 7 11206
si2_r005_m400.06 7 2787
si2_r005_m400.08 7 11103
si2_r005_m400.02 7 1000000
si2_r005_m400.03 7 49830
si2_r005_m400.00 7 11740
si2_r005_m400.07 7 358663
si2_r005_m400.09 7 12763
si2_r005_m400.04 7 50322
si2_r005_m400.01 7 6408
si2_b06m_m400.03 4 18
si2_b06m_m400.06 4 19
si2_b06m_m400.05 4 18
si2_b06m_m400.01 4 19
si2_b06m_m400.00 4 23
si2_b06m_m400.08 4 18
si2_b06m_m400.07 4 22
si2_b06m_m400.09 4 18
si2_b06m_m400.04 4 19
si2_b06m_m400.02 4 18
si6_r005_m600.02 7 129219
si6_r005_m600.08 7 52177
si6_r005_m600.03 7 156619
si6_r005_m600.05 7 289796
si6_r005_m600.07 7 68340
si6_r005_m600.04 7 146052
si6_r005_m600.06 7 215212
si6_r005_m600.01 7 37386
si6_r005_m600.09 7 404026
si6_r005_m600.00 7 47448
si6_r005_m200.02 7 65
si6_r005_m200.08 7 121
si6_r005_m200.09 7 110
si6_r005_m200.05 7 98
si6_r005_m200.03 7 81
si6_r005_m200.00 7 205
si6_r005_m200.04 7 83
si6_r005_m200.07 7 72
si6_r005_m200.01 7 108
si6_r005_m200.06 7 52
si2_m4Dr6_m625.06 6 52
si2_m4Dr6_m625.08 6 51
si2_m4Dr6_m625.07 6 50
si2_m4Dr6_m625.03 6 54
si2_m4Dr6_m625.04 6 49
si2_m4Dr6_m625.05 6 66
si2_m4Dr6_m625.09 6 56
si2_m4Dr6_m625.01 6 50
si2_m4Dr6_m625.02 6 72
si2_m4Dr6_m625.00 6 49
si6_b03_m800.02 3 308
si6_b03_m800.04 3 302
si6_b03_m800.03 3 358
si6_b03_m800.05 3 310
si6_b03_m800.06 3 302
si6_b03_m800.01 3 302
si6_b03_m800.00 3 320
