instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
F.05 1 988927 32897 988927 32964 990143 34543 990143 34779 990895 35609 990895 36029 991027 36761 991027 37339 991379 37638 991379 38121 991629 38532 991629 38890 991996 42927 991996 42929 992435 52131 992435 52131
B.09 1 995750 9134 995167 42926 996254 9323 996254 9911 996398 9377 996398 9389 996364 9673 996364 9673 996459 9703 996459 9703 996406 9722 996406 9722 996403 9801 996403 9801 996403 9801 996403 9801
A.01 1 986846 27144 984865 119394 988994 27803 988844 32256 989241 28712 989241 28970 989602 29497 989602 29497 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056
C.05 1 997295 5688 996971 27878 997707 5669 997707 5895 997862 5727 997862 5727 997911 6044 997911 6044 997855 6041 997855 6041 997850 6066 997850 6066 997833 6000 997833 6000 997833 6000 997833 6000
B.01 1 995474 9208 994922 43434 996207 9334 996207 9761 996421 9610 996421 9614 996267 9877 996267 9877 996500 9812 996500 9812 996317 9724 996317 9724 996403 9987 996403 9987 996403 9987 996403 9987
A.09 1 986424 25984 984763 111493 988866 26943 988866 31105 989351 27706 989351 27706 989333 28415 989333 28415 989453 28812 989453 28812 989463 28562 989463 28562 989598 28623 989598 28623 989598 28623 989598 28623
A.07 1 986018 26706 983134 112693 988612 26551 988612 31024 989287 28049 989287 28135 989511 28751 989511 28751 989669 28985 989669 28985 989326 29019 989326 29019 989598 29287 989598 29287 989598 29287 989598 29287
F.03 1 988585 33627 988585 33777 989905 35040 989905 35428 990627 36073 990627 36723 991115 37369 991115 38171 991226 38181 991226 38834 991374 38619 991374 39107 992077 42752 992077 42764 992351 51255 992351 51255
E.12 1 990486 41599 990486 41796 990998 42893 990998 43228 991037 43438 991037 43854 991408 44536 991408 44847 991570 45133 991570 45386 991730 46128 991730 46273 992069 50391 992069 50397 992336 59757 992336 59757
C.06 1 997284 5584 997231 27158 997759 5554 997759 5747 997767 5903 997767 5905 997919 5960 997919 5960 997880 5986 997880 5986 997871 6046 997871 6046 997833 5810 997833 5810 997833 5810 997833 5810
C.09 1 997283 5581 997030 27264 997657 5607 997657 5830 997805 5812 997805 5814 997910 5978 997910 5978 997861 5890 997861 5890 997896 6050 997896 6050 997833 5928 997833 5928 997833 5928 997833 5928
B.17 1 995659 9079 995233 42469 996171 9329 996171 9883 996458 9533 996458 9545 996381 9784 996381 9784 996511 9912 996511 9912 996402 9715 996402 9715 996403 9850 996403 9850 996403 9850 996403 9850
C.07 1 997369 5648 997041 27530 997757 5646 997757 5887 997860 5938 997860 5939 997918 5967 997918 5967 997930 6023 997930 6023 997857 5889 997857 5889 997833 6004 997833 6004 997833 6004 997833 6004
E.09 1 989963 39914 989963 39932 990580 41148 990580 41186 990744 42230 990744 42317 991135 43018 991135 43116 991440 44036 991440 44127 991412 44407 991412 44484 991830 49160 991830 49163 992393 58264 992393 58264
E.17 1 990705 46953 990705 47547 990938 47047 990938 48193 991369 47469 991369 48489 991570 48058 991570 48699 991797 49458 991797 49809 991871 50473 991871 50650 992138 55266 992138 55267 992535 65548 992535 65548
C.11 1 997358 5832 997062 27757 997743 5716 997743 5948 997881 5962 997881 5965 997946 6129 997946 6129 997767 6103 997767 6103 997829 5987 997829 5987 997833 5913 997833 5913 997833 5913 997833 5913
F.10 1 989339 40595 989339 40599 990171 41219 990171 41232 990601 42359 990601 42388 990726 43150 990726 43184 991087 43986 991087 44036 991272 44693 991272 44714 991839 49123 991839 49123 992202 58687 992202 58687
A.17 1 987056 27683 984667 117117 988891 27289 988891 32272 989398 27898 989398 28157 989251 28973 989251 28973 989525 29017 989525 29017 989418 29163 989418 29163 989598 28879 989598 28879 989598 28879 989598 28879
B.15 1 995533 9405 994970 43641 996204 9484 996204 10027 996353 9662 996353 9663 996416 9781 996416 9781 996512 10175 996512 10175 996407 9737 996407 9737 996403 9910 996403 9910 996403 9910 996403 9910
