instance family
si4_b03_m400.06 3 69
si4_b03_m400.00 3 70
si4_b03_m400.03 3 70
si4_b03_m400.04 3 69
si4_b03_m400.09 3 93
si4_b03_m400.08 3 69
si2_b03_m200.05 3 7
si2_b03_m200.09 3 7
si2_b03_m200.07 3 7
si2_b03_m200.01 3 7
si2_b03_m200.08 3 7
si2_b03_m200.02 3 9
si2_b03_m200.04 3 7
si2_b03_m200.03 3 7
si2_b03_m200.06 3 7
si2_b03_m200.00 3 7
si4_r005_m600.00 7 178502
si4_r005_m600.02 7 39469
si4_r005_m600.08 7 170342
si4_r005_m600.05 7 86613
si4_r005_m600.07 7 75996
si4_r005_m600.06 7 293116
si4_r005_m600.01 7 150738
si4_r005_m600.04 7 137898
si4_r005_m600.03 7 71436
si4_r005_m600.09 7 44521
si4_b09_m400.05 3 108
si4_b09_m400.03 3 84
si4_b09_m400.00 3 83
si4_b09_m400.07 3 78
si4_b09_m400.01 3 78
si4_b09_m400.06 3 78
si4_b09_m400.04 3 78
si4_b09_m400.02 3 78
si4_b09_m400.08 3 106
si4_b09_m400.09 3 78
si4_b06m_m400.06 4 68
si4_b06m_m400.03 4 55
si4_b06m_m400.01 4 70
si4_b06m_m400.08 4 57
si4_b06m_m400.05 4 81
si4_b06m_m400.07 4 59
si4_b06m_m400.00 4 80
si4_b06m_m400.04 4 58
si4_b06m_m400.09 4 80
si4_b06m_m400.02 4 54
si2_m4Dr2_m625.05 6 110
si2_m4Dr2_m625.00 6 134
si2_m4Dr2_m625.08 6 104
si2_m4Dr2_m625.09 6 110
si2_m4Dr2_m625.06 6 116
si2_m4Dr2_m625.04 6 116
si2_m4Dr2_m625.01 6 177
si2_m4Dr2_m625.03 6 115
si2_m4Dr2_m625.02 6 168
si2_m4Dr2_m625.07 6 117
si2_r005_m200.02 7 51
si2_r005_m200.01 7 2512
si2_r005_m200.03 7 236
si2_r005_m200.05 7 4793
si2_r005_m200.08 7 1490
si2_r005_m200.04 7 78
si2_r005_m200.09 7 318
si2_r005_m200.06 7 289
si2_r005_m200.00 7 1333
si2_r005_m200.07 7 134
si4_b03m_m400.03 4 47
si4_b03m_m400.09 4 48
si4_b03m_m400.08 4 54
si4_b03m_m400.04 4 49
si4_b03m_m400.00 4 48
si4_b03m_m400.01 4 70
si4_b03m_m400.07 4 50
si4_b03m_m400.02 4 51
si4_b03m_m400.06 4 73
si4_b03m_m400.05 4 49
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000000
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000000
si4_m4Dr6_m256.01 6 21
si4_m4Dr6_m256.00 6 25
si4_m4Dr6_m256.05 6 24
si4_m4Dr6_m256.08 6 21
si4_m4Dr6_m256.03 6 20
si4_m4Dr6_m256.06 6 28
si4_m4Dr6_m256.09 6 21
si4_m4Dr6_m256.07 6 37
si4_m4Dr6_m256.02 6 19
si4_m4Dr6_m256.04 6 21
si2_b03m_m400.02 4 34
si2_b03m_m400.00 4 33
si2_b03m_m400.01 4 35
si2_b03m_m400.05 4 34
si2_b03m_m400.08 4 33
si2_b03m_m400.07 4 35
si2_b03m_m400.09 4 43
si2_b03m_m400.03 4 35
si2_b03m_m400.04 4 45
si2_b03m_m400.06 4 47
si2_b03m_m200.05 4 8
si2_b03m_m200.03 4 9
si2_b03m_m200.00 4 9
si2_b03m_m200.08 4 6
si2_b03m_m200.06 4 6
si2_b03m_m200.02 4 9
si2_b03m_m200.09 4 7
si2_b03m_m200.04 4 9
si2_b03m_m200.01 4 6
si2_b03m_m200.07 4 6
si4_r001_m200.04 7 12
si4_r001_m200.07 7 12
si4_r001_m200.00 7 12
si4_r001_m200.01 7 15
si4_r001_m200.03 7 12
si4_r001_m200.06 7 17
si4_r001_m200.05 7 17
si4_r001_m200.08 7 12
si4_r001_m200.09 7 28
si4_r001_m200.02 7 17
si2_m4D_m256.08 5 13
si2_m4D_m256.03 5 13
si2_m4D_m256.02 5 15
si2_m4D_m256.06 5 13
si2_m4D_m256.04 5 16
si2_m4D_m256.07 5 12
si2_m4D_m256.01 5 13
si2_m4D_m256.09 5 14
si2_m4D_m256.00 5 18
si2_m4D_m256.05 5 13
si6_r01_m400.04 7 165102
si6_r01_m400.08 7 136117
si6_r01_m400.07 7 129981
si6_r01_m400.06 7 141863
si6_r01_m400.05 7 327734
si6_r01_m400.02 7 236712
si6_r01_m400.00 7 328392
si6_r01_m400.03 7 37845
si6_r01_m400.01 7 126150
si6_r01_m400.09 7 184444
si2_m4Dr4_m625.07 6 120
si2_m4Dr4_m625.02 6 117
si2_m4Dr4_m625.03 6 108
si2_m4Dr4_m625.00 6 131
si2_m4Dr4_m625.05 6 114
si2_m4Dr4_m625.06 6 134
si2_m4Dr4_m625.09 6 413
si2_m4Dr4_m625.01 6 184
si2_m4Dr4_m625.08 6 164
si2_m4Dr4_m625.04 6 258
si4_r01_m400.01 7 110181
si4_r01_m400.08 7 330545
si4_r01_m400.02 7 876157
si4_r01_m400.03 7 295482
si4_r01_m400.07 7 706202
si4_r01_m400.06 7 105139
si4_r01_m400.04 7 694656
si4_r01_m400.00 7 828590
si4_r01_m400.05 7 91086
si4_r01_m400.09 7 167845
si2_b09m_m400.09 4 43
si2_b09m_m400.03 4 47
si2_b09m_m400.01 4 50
si2_b09m_m400.08 4 46
si2_b09m_m400.05 4 45
si2_b09m_m400.06 4 45
si2_b09m_m400.00 4 45
si2_b09m_m400.02 4 44
si2_b09m_m400.04 4 44
si2_b09m_m400.07 4 45
si2_b09_m800.07 3 312
si2_b09_m800.04 3 244
si2_b09_m800.05 3 244
si2_b09_m800.00 3 243
si2_b09_m800.02 3 243
si2_b09_m800.01 3 243
si2_b09_m800.08 3 265
si2_b09_m800.09 3 269
si2_b09_m800.03 3 361
si2_b09_m800.06 3 245
si6_b03_m400.04 3 152
si6_b03_m400.09 3 150
si6_b03_m400.02 3 123
si6_b03_m400.06 3 110
si6_b03_m400.05 3 156
si6_b03_m400.08 3 110
si6_b03_m400.01 3 110
si6_b03_m400.07 3 110
si6_b03_m400.03 3 110
si6_b03_m400.00 3 110
si2_r005_m600.03 7 66060
si2_r005_m600.00 7 355690
si2_r005_m600.06 7 254249
si2_r005_m600.01 7 234509
si2_r005_m600.04 7 432019
si2_r005_m600.09 7 114167
si2_r005_m600.05 7 734989
si2_r005_m600.02 7 378177
si2_r005_m600.08 7 94468
si2_r005_m600.07 7 13748
si4_r01_m600.05 7 1000001
si4_r01_m600.02 7 1000001
si4_r01_m600.03 7 1000001
si4_r01_m600.07 7 1000001
si4_r01_m600.08 7 1000000
si4_r01_m600.06 7 1000000
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000001
si4_r01_m600.00 7 1000000
si4_r01_m600.09 7 1000000
si2_b09_m400.04 3 45
si2_b09_m400.08 3 45
si2_b09_m400.05 3 45
si2_b09_m400.01 3 46
si2_b09_m400.03 3 46
si2_b09_m400.02 3 46
si2_b09_m400.07 3 46
si2_b09_m400.09 3 46
si2_b09_m400.06 3 63
si2_b09_m400.00 3 58
si4_b06_m200.06 3 14
si4_b06_m200.03 3 13
si4_b06_m200.02 3 13
si4_b06_m200.07 3 19
si4_b06_m200.05 3 13
si4_b06_m200.08 3 13
si4_b06_m200.00 3 13
si4_b06_m200.04 3 18
si4_b06_m200.01 3 13
si4_b06_m200.09 3 19
si4_r005_m400.06 7 20550
si4_r005_m400.03 7 3847
si4_r005_m400.07 7 20784
si4_r005_m400.01 7 8073
si4_r005_m400.04 7 11279
si4_r005_m400.00 7 13933
si4_r005_m400.09 7 5571
si4_r005_m400.05 7 6521
si4_r005_m400.08 7 5056
si4_r005_m400.02 7 5846
si4_m4Dr2_m1296.07 6 1244
si4_m4Dr2_m1296.00 6 1173
si4_m4Dr2_m1296.05 6 1296
si4_m4Dr2_m1296.04 6 1306
si4_m4Dr2_m1296.08 6 1391
si4_m4Dr2_m1296.01 6 1168
si4_m4Dr2_m1296.06 6 1215
si4_m4Dr2_m1296.02 6 1197
si4_m4Dr2_m1296.03 6 1351
si4_m4Dr2_m1296.09 6 1324
si6_b09_m800.03 3 769
si6_b09_m800.09 3 821
si6_b09_m800.07 3 769
si6_b09_m800.05 3 771
si6_b09_m800.04 3 768
si6_b09_m800.01 3 917
si6_b09_m800.00 3 769
si6_b09_m800.02 3 769
si6_b09_m800.06 3 817
si6_b09_m800.08 3 771
si6_b06m_m400.00 4 74
si6_b06m_m400.08 4 99
si6_b06m_m400.03 4 72
si6_b06m_m400.04 4 75
si6_b06m_m400.06 4 74
si6_b06m_m400.07 4 74
si6_b06m_m400.09 4 75
si6_b06m_m400.02 4 79
si6_b06m_m400.01 4 72
si6_b06m_m400.05 4 99
si2_m4Dr4_m1296.08 6 812
si2_m4Dr4_m1296.07 6 791
si2_m4Dr4_m1296.03 6 873
si2_m4Dr4_m1296.05 6 765
si2_m4Dr4_m1296.06 6 743
si2_m4Dr4_m1296.04 6 735
si2_m4Dr4_m1296.09 6 775
si2_m4Dr4_m1296.01 6 793
si2_m4Dr4_m1296.00 6 814
si2_m4Dr4_m1296.02 6 840
si6_m4Dr6_m1296.02 6 2090
si6_m4Dr6_m1296.08 6 2099
si6_m4Dr6_m1296.07 6 2129
si6_m4Dr6_m1296.06 6 1967
si6_m4Dr6_m1296.03 6 2082
si6_m4Dr6_m1296.04 6 2091
si6_m4Dr6_m1296.05 6 2158
si6_m4Dr6_m1296.00 6 2029
si6_m4Dr6_m1296.09 6 1915
si6_m4Dr6_m1296.01 6 1913
si4_m4Dr2_m256.00 6 24
si4_m4Dr2_m256.01 6 17
si4_m4Dr2_m256.05 6 23
si4_m4Dr2_m256.04 6 18
si4_m4Dr2_m256.08 6 18
si4_m4Dr2_m256.07 6 19
si4_m4Dr2_m256.06 6 18
si4_m4Dr2_m256.02 6 18
si4_m4Dr2_m256.09 6 18
si4_m4Dr2_m256.03 6 24
si4_b09m_m200.01 4 14
si4_b09m_m200.00 4 14
si4_b09m_m200.03 4 15
si4_b09m_m200.06 4 14
si4_b09m_m200.02 4 14
si4_b09m_m200.04 4 18
si4_b09m_m200.05 4 14
si4_b09m_m200.07 4 14
si4_b09m_m200.08 4 13
si4_b09m_m200.09 4 19
si4_m4Dr4_m625.07 6 188
si4_m4Dr4_m625.05 6 170
si4_m4Dr4_m625.01 6 208
si4_m4Dr4_m625.08 6 189
si4_m4Dr4_m625.09 6 182
si4_m4Dr4_m625.00 6 250
si4_m4Dr4_m625.04 6 201
si4_m4Dr4_m625.06 6 198
si4_m4Dr4_m625.03 6 182
si4_m4Dr4_m625.02 6 172
si4_m4Dr4_m1296.03 6 1291
si4_m4Dr4_m1296.01 6 1415
si4_m4Dr4_m1296.00 6 1259
si4_m4Dr4_m1296.07 6 1304
si4_m4Dr4_m1296.02 6 1294
si4_m4Dr4_m1296.04 6 1305
si4_m4Dr4_m1296.09 6 1298
si4_m4Dr4_m1296.06 6 1430
si4_m4Dr4_m1296.08 6 1217
si4_m4Dr4_m1296.05 6 1443
si2_r005_m400.05 7 6224
si2_r005_m400.06 7 1848
si2_r005_m400.08 7 6086
