instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
F.14 1 988335 35853 988335 36031 990277 37458 990277 37926 990917 39013 990917 39924 991331 39698 991331 41003 991647 40829 991647 42008 991564 41629 991564 42413 992167 46051 992167 46067 992279 54501 992279 54501
F.05 1 988927 32897 988927 32964 990309 35163 990309 35381 990948 36286 990948 36807 991407 36972 991407 37599 991709 38377 991709 39034 991806 38897 991806 39372 991983 42977 991983 42989 992468 52080 992468 52080
B.09 1 995750 9134 995478 42580 996363 9348 996363 9923 996470 9597 996470 9612 996403 9801 996403 9801 996403 9801 996403 9801 996403 9801 996403 9801 996403 9801 996403 9801 996403 9801 996403 9801
A.01 1 986846 27144 985868 117380 989323 27687 989133 32658 989321 29140 989321 29404 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056 989598 29056
C.05 1 997295 5688 997098 27757 997714 5557 997714 5821 997860 5880 997860 5880 997833 6000 997833 6000 997833 6000 997833 6000 997833 6000 997833 6000 997833 6000 997833 6000 997833 6000 997833 6000
B.01 1 995474 9208 995226 42702 996336 8924 996336 9407 996359 9597 996359 9599 996403 9987 996403 9987 996403 9987 996403 9987 996403 9987 996403 9987 996403 9987 996403 9987 996403 9987 996403 9987
A.09 1 986424 25984 985479 108728 989192 26444 989192 30576 989302 27834 989302 27834 989598 28623 989598 28623 989598 28623 989598 28623 989598 28623 989598 28623 989598 28623 989598 28623 989598 28623 989598 28623
A.07 1 986018 26706 984450 111166 989030 26475 989030 31283 989350 28081 989350 28168 989598 29287 989598 29287 989598 29287 989598 29287 989598 29287 989598 29287 989598 29287 989598 29287 989598 29287 989598 29287
F.03 1 988585 33627 988585 33777 989799 35443 989799 35878 990646 36918 990646 37739 991137 37569 991137 38544 991577 38777 991577 39742 991494 39632 991494 40308 992177 43778 992177 43798 992280 50994 992280 50994
E.12 1 990486 41599 990486 41796 991001 42624 991001 42992 991286 43881 991286 44367 991259 44733 991259 45186 991614 45762 991614 46113 991585 46696 991585 46908 992089 51317 992089 51323 992392 59442 992392 59442
C.06 1 997284 5584 997127 26879 997802 5480 997802 5682 997831 5892 997831 5897 997833 5810 997833 5810 997833 5810 997833 5810 997833 5810 997833 5810 997833 5810 997833 5810 997833 5810 997833 5810
