instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
si4_m4Dr2_m625.05 6 96 2198 11612 9692 239446 333067 27678 1000001
si2_r001_m600.00 7 914 1000000 1000000 1000000 1000000 1000001 1000000 1000000
si2_r001_m600.06 7 1121 1000000 1000000 1000000 1000001 1000000 1000001 90
si2_r001_m600.04 7 1600 1000000 1000000 1000000 1000001 1000000 1000000 1000001
si2_r001_m600.07 7 503 1000001 1000000 1000000 1000000 1000000 1000000 1000001
si2_r001_m600.02 7 155 1000000 1000000 1000001 1000000 1000000 1000000 1000000
si2_r001_m600.08 7 1686 1000000 1000000 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.03 7 66726 1000000 1000000 1000000 1000000 1000000 1000000 89
si2_r001_m600.01 7 81 1000000 1000000 1000000 1000000 1000000 1000000 137
si2_r001_m600.05 7 419 1000000 1000000 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.09 7 3351 1000000 1000000 1000000 1000000 1000000 1000001 1000001
si2_m4Dr2_m256.09 6 7 13 18 219 465 218 41 13
si2_m4Dr2_m256.03 6 40 14 19 115 22 24 9 10
si2_m4Dr2_m256.04 6 9 105 177 500 1032 288 12 10
si2_m4Dr2_m256.07 6 7 67 167 1018 145 1242 11 10
si2_m4Dr2_m256.00 6 7 428 34 237 197 16 19 14
si2_m4Dr2_m256.06 6 37 18 14 19 85 13 10 10
si2_m4Dr2_m256.08 6 6 45 16 67 222365 48429 12 10
si2_m4Dr2_m256.05 6 6 12 406 3133 28 22 10 10
si2_m4Dr2_m256.01 6 7 139 1368 1408 320 178 10 10
si2_m4Dr2_m256.02 6 6 56 399 273 58 106 12 10
si6_r001_m600.09 7 253 396 1000000 25069 1000000 1000001 1000001 1000002
si6_r001_m600.00 7 327 10293 14393 89665 1000001 153481 1000002 1000001
si6_r001_m600.07 7 289 1040 63010 2215 348813 26885 345012 1000002
si6_r001_m600.03 7 232 4011 1000000 544752 1000002 63245 1000001 1000002
si6_r001_m600.01 7 179 2512 1054 233378 1000000 509136 21847 1000001
si6_r001_m600.06 7 242 361 1512 1683 12324 1000000 419007 1000001
si6_r001_m600.08 7 247 22619 1000000 1000000 1000001 1000002 74407 1000001
si6_r001_m600.02 7 187 282 1201 1000001 1000001 4070 202348 1000002
si6_r001_m600.04 7 173 75334 733349 1000001 207047 6210 92543 1000002
si6_r001_m600.05 7 193 5086 553392 853539 525865 661566 544575 1000001
si2_m4Dr2_m1296.05 6 361 2588 15096 121036 131627 203860 1000002 1000002
si2_m4Dr2_m1296.09 6 354 2431 197287 1000002 1000001 1000001 1000004 1000003
si2_m4Dr2_m1296.02 6 1727 1000002 592815 1000002 1000001 1000002 22293 1000003
si2_m4Dr2_m1296.07 6 335 15490 1000001 1000003 1000001 1000002 68610 992931
si2_m4Dr2_m1296.00 6 326 1493 9202 4101 22109 1000002 392254 1000002
si2_m4Dr2_m1296.06 6 346 146470 1000001 1000003 1000002 1000002 1000002 1000002
si2_m4Dr2_m1296.08 6 354 1000002 1000003 71816 220775 41870 1000002 1000004
si2_m4Dr2_m1296.01 6 405 1000001 332501 1000002 1000003 1000002 1000002 1000002
si2_m4Dr2_m1296.03 6 337 62898 11985 1000001 1000001 1000002 1000002 246047
si2_m4Dr2_m1296.04 6 373 587 4390 13082 44715 58742 1000001 1000001
si4_b06m_m800.08 4 254 218 310 272 2119 490 1000001 1000002
si4_b06m_m800.00 4 175 275 282 288 412 330 5440 1000002
si4_b06m_m800.06 4 171 212 230 278 267 343 422281 1000004
si4_b06m_m800.05 4 171 227 237 280 289 328 1508 1000003
si4_b06m_m800.04 4 174 249 275 1000001 1000001 1000001 1000001 1000003
si4_b06m_m800.09 4 188 220 226 288 407 484 1000001 1000003
si4_b06m_m800.01 4 230 254 231 398 2165 1821 1000001 1000003
si4_b06m_m800.07 4 180 233 284 297 432 717 2605 1000003
si4_b06m_m800.03 4 220 311 19269 514 4315 1000001 1000002 1000001
si4_b06m_m800.02 4 183 222 271 388 3717 5847 5910 1000001
si6_m4Dr2_m625.08 6 165 204 417 11925 30184 1000001 4291 44859
si6_m4Dr2_m625.09 6 149 237 1514 5963 9436 51342 51811 89219
si6_m4Dr2_m625.05 6 197 372 4356 4462 10993 53089 139010 562390
si6_m4Dr2_m625.01 6 128 175 1247 7452 15544 8416 14322 61540
si6_m4Dr2_m625.06 6 137 198 1259 1228 7010 13107 2220 222081
si6_m4Dr2_m625.00 6 169 193 954 7256 1194 3706 74113 743403
si6_m4Dr2_m625.03 6 138 316 7178 844 1773 3089 157805 1000002
si6_m4Dr2_m625.02 6 146 1487 3262 98290 23164 4286 7304 88952
si6_m4Dr2_m625.07 6 140 198 2862 3703 29146 1116 5157 102800
si6_m4Dr2_m625.04 6 141 247 2473 6424 33950 187117 5698 1000001
si2_m4D_m1296.01 5 400 1500 13788 18145 24544 28778 23593 36432
si2_m4D_m1296.08 5 271 933 5096 130065 109433 113228 126704 149328
si2_m4D_m1296.06 5 683 4722 15720 21777 24676 18435 24177 29923
si2_m4D_m1296.05 5 321 5855 5657 30690 41966 57174 99449 218777
si2_m4D_m1296.09 5 274 2069 21664 27425 27828 147202 240726 94417
si2_m4D_m1296.03 5 348 1342 9226 22613 22698 19891 34767 42228
si2_m4D_m1296.07 5 301 1289 13722 95954 118212 21225 307035 15533
si2_m4D_m1296.02 5 298 2333 38316 121143 159795 242984 6189 139546
si2_m4D_m1296.04 5 365 12831 69157 95140 135297 205562 107365 147066
si2_m4D_m1296.00 5 313 1302 24134 13003 34898 30592 171076 343270
si4_b03_m800.05 3 250 217 265 273 246 261 231 252
si4_b03_m800.00 3 237 218 219 221 223 226 232 246
si4_b03_m800.08 3 209 217 247 234 233 235 233 246
si4_b03_m800.09 3 295 233 237 222 325 254 230 259
si4_b03_m800.03 3 220 256 219 294 278 224 258 247
si4_b03_m800.02 3 210 319 286 223 226 334 231 246
si4_b03_m800.04 3 210 217 221 331 232 232 231 245
si4_b03_m800.01 3 229 218 222 222 232 226 231 246
si4_b03_m800.06 3 210 220 221 321 223 226 232 246
si4_b03_m800.07 3 213 222 221 288 298 225 231 246
si6_m4D_m1296.02 5 868 12378 59693 120016 118500 23695 127937 271837
si6_m4D_m1296.07 5 2426 390833 176236 1000007 1000008 1000007 1000006 1000003
si6_m4D_m1296.05 5 865 5933 24836 107162 109141 113033 117133 448819
si6_m4D_m1296.09 5 3769 1000003 1000001 1000005 1000004 1000004 1000004 1000006
si6_m4D_m1296.00 5 5529 15703 418398 29885 506801 124278 1000007 460730
si6_m4D_m1296.08 5 862 10118 34076 89479 85436 243322 86290 255988
si6_m4D_m1296.04 5 877 5619 22028 82279 75596 110645 317307 473625
si6_m4D_m1296.06 5 3841 16181 177911 750309 871648 64432 1000003 1000006
si6_m4D_m1296.01 5 2856 13771 420592 1000004 734721 848488 463725 1000007
si6_m4D_m1296.03 5 31187 231020 69868 79852 25230 80595 1000004 1000009
si6_r001_m200.05 7 11 106 23 119 100473 1000000 1000000 1000000
si6_r001_m200.09 7 16 107 27876 34241 1000000 1000000 1000000 1000000
si6_r001_m200.07 7 10 14 59 272 682 1000000 1000000 1000001
si6_r001_m200.02 7 9 323 656 901 7110 397300 1000000 1000000
si6_r001_m200.01 7 9 60 8912 1000000 182 236 1000000 1000000
si6_r001_m200.00 7 8 19 19 5880 890 5183 1000000 1000000
si6_r001_m200.04 7 9 17 654 409 19256 33780 1000000 1000000
si6_r001_m200.06 7 10 12 74 122 1000000 237722 215366 1000000
si6_r001_m200.08 7 9 12 20 2733 90 390841 1000000 1000000
si6_r001_m200.03 7 9 18 665072 1035 1000000 1000000 1000000 1000000
si4_b06_m400.06 3 52 41 55 54 46 42 44 62
si4_b06_m400.07 3 57 51 52 45 43 56 45 49
si4_b06_m400.09 3 38 57 41 42 43 42 45 64
si4_b06_m400.01 3 38 58 41 41 41 57 63 48
si4_b06_m400.04 3 46 40 41 57 42 57 62 50
si4_b06_m400.03 3 38 54 43 57 43 46 45 48
si4_b06_m400.00 3 38 56 56 42 43 42 44 48
si4_b06_m400.05 3 38 50 42 44 44 44 67 70
si4_b06_m400.08 3 38 41 42 63 44 44 45 48
si4_b06_m400.02 3 38 40 41 44 44 43 66 65
si2_m4Dr6_m256.06 6 10 30 448 2280 25 736 14 10
si2_m4Dr6_m256.05 6 7 702 1233 373 154 380994 10 10
si2_m4Dr6_m256.09 6 7 11 489 537 33627 1000000 11 10
si2_m4Dr6_m256.00 6 8 126 1000000 140 3705 13726 12 14
si2_m4Dr6_m256.07 6 8 453 7125 4669 1000000 204953 10 14
si2_m4Dr6_m256.04 6 10 65 180 5662 201809 862 13 10
si2_m4Dr6_m256.02 6 7 16 324 234 479 39895 16 10
si2_m4Dr6_m256.01 6 7 676032 145018 1099 58 25 13 10
si2_m4Dr6_m256.08 6 15 771 63 517 1152 7325 10 13
si2_m4Dr6_m256.03 6 7 51 23 161538 8710 1000000 8976 11
si6_r01_m200.04 7 1932 3482 4108 6394 10756 17011 6414 4616
si6_r01_m200.08 7 1028 6172 13357 23167 6492 4941 24654 14521
si6_r01_m200.02 7 4235 8191 3035 6754 3990 4441 8439 9965
si6_r01_m200.09 7 13235 31083 17986 10609 5069 6537 5129 21189
si6_r01_m200.07 7 1738 10900 11191 11284 5101 29026 6436 4792
