instance family
si4_b03m_m400.07 4 67
si4_b03m_m400.02 4 52
si4_b03m_m400.06 4 53
si4_b03m_m400.05 4 50
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000000
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000000
si4_m4Dr6_m256.01 6 20
si4_m4Dr6_m256.00 6 21
si4_m4Dr6_m256.05 6 26
si4_m4Dr6_m256.08 6 28
si4_m4Dr6_m256.03 6 20
si4_m4Dr6_m256.06 6 20
si4_m4Dr6_m256.09 6 20
si4_m4Dr6_m256.07 6 56
si4_m4Dr6_m256.02 6 28
si4_m4Dr6_m256.04 6 28
si2_b03m_m400.02 4 52
si2_b03m_m400.00 4 35
si2_b03m_m400.01 4 36
si2_b03m_m400.05 4 35
si2_b03m_m400.08 4 35
si2_b03m_m400.07 4 35
si2_b03m_m400.09 4 35
si2_b03m_m400.03 4 35
si2_b03m_m400.04 4 49
si2_b03m_m400.06 4 36
si2_b03m_m200.05 4 9
si2_b03m_m200.03 4 7
si2_b03m_m200.00 4 10
si2_b03m_m200.08 4 7
si2_b03m_m200.06 4 7
si2_b03m_m200.02 4 10
si2_b03m_m200.09 4 10
si2_b03m_m200.04 4 9
si2_b03m_m200.01 4 7
si2_b03m_m200.07 4 7
si4_r001_m200.04 7 12
si4_r001_m200.07 7 12
si4_r001_m200.00 7 12
si4_r001_m200.01 7 12
si4_r001_m200.03 7 13
si4_r001_m200.06 7 12
si4_r001_m200.05 7 12
si4_r001_m200.08 7 12
si4_r001_m200.09 7 33
si4_r001_m200.02 7 27
si2_m4D_m256.08 5 13
si2_m4D_m256.03 5 14
si2_m4D_m256.02 5 25
si2_m4D_m256.06 5 13
si2_m4D_m256.04 5 13
si2_m4D_m256.07 5 13
si2_m4D_m256.01 5 14
si2_m4D_m256.09 5 17
si2_m4D_m256.00 5 13
si2_m4D_m256.05 5 13
si6_r01_m400.04 7 239680
si6_r01_m400.08 7 204268
si6_r01_m400.07 7 187857
si6_r01_m400.06 7 188062
si6_r01_m400.05 7 465101
si6_r01_m400.02 7 343493
si6_r01_m400.00 7 495944
si6_r01_m400.03 7 52002
si6_r01_m400.01 7 169685
si6_r01_m400.09 7 269196
si2_m4Dr4_m625.07 6 115
si2_m4Dr4_m625.02 6 115
si2_m4Dr4_m625.03 6 127
si2_m4Dr4_m625.00 6 111
si2_m4Dr4_m625.05 6 136
si2_m4Dr4_m625.06 6 131
si2_m4Dr4_m625.09 6 467
si2_m4Dr4_m625.01 6 134
si2_m4Dr4_m625.08 6 154
si2_m4Dr4_m625.04 6 202
si4_r01_m400.01 7 153191
si4_r01_m400.08 7 514188
si4_r01_m400.02 7 1000000
si4_r01_m400.03 7 480275
si4_r01_m400.07 7 1000000
si4_r01_m400.06 7 160442
si4_r01_m400.04 7 1000000
si4_r01_m400.00 7 1000000
si4_r01_m400.05 7 144659
si4_r01_m400.09 7 286867
si2_b09m_m400.09 4 45
si2_b09m_m400.03 4 45
si2_b09m_m400.01 4 45
si2_b09m_m400.08 4 46
si2_b09m_m400.05 4 44
si2_b09m_m400.06 4 45
si2_b09m_m400.00 4 45
si2_b09m_m400.02 4 45
si2_b09m_m400.04 4 45
si2_b09m_m400.07 4 45
si2_b09_m800.07 3 225
si2_b09_m800.04 3 252
si2_b09_m800.05 3 225
si2_b09_m800.00 3 225
si2_b09_m800.02 3 350
si2_b09_m800.01 3 224
si2_b09_m800.08 3 224
si2_b09_m800.09 3 239
si2_b09_m800.03 3 224
si2_b09_m800.06 3 225
si6_b03_m400.04 3 91
si6_b03_m400.09 3 91
si6_b03_m400.02 3 91
si6_b03_m400.06 3 91
si6_b03_m400.05 3 91
si6_b03_m400.08 3 91
si6_b03_m400.01 3 92
si6_b03_m400.07 3 92
si6_b03_m400.03 3 107
si6_b03_m400.00 3 92
si2_r005_m600.03 7 83999
si2_r005_m600.00 7 460617
si2_r005_m600.06 7 329903
si2_r005_m600.01 7 303108
si2_r005_m600.04 7 558139
si2_r005_m600.09 7 146997
si2_r005_m600.05 7 918715
si2_r005_m600.02 7 487879
si2_r005_m600.08 7 121590
si2_r005_m600.07 7 20434
si4_r01_m600.05 7 1000000
si4_r01_m600.02 7 1000000
si4_r01_m600.03 7 1000000
si4_r01_m600.07 7 1000001
si4_r01_m600.08 7 1000000
si4_r01_m600.06 7 1000000
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000000
si4_r01_m600.00 7 1000000
si4_r01_m600.09 7 1000001
si2_b09_m400.04 3 43
si2_b09_m400.08 3 43
si2_b09_m400.05 3 43
si2_b09_m400.01 3 43
si2_b09_m400.03 3 43
si2_b09_m400.02 3 43
si2_b09_m400.07 3 43
si2_b09_m400.09 3 53
si2_b09_m400.06 3 43
si2_b09_m400.00 3 43
si4_b06_m200.06 3 13
si4_b06_m200.03 3 13
si4_b06_m200.02 3 18
si4_b06_m200.07 3 16
si4_b06_m200.05 3 13
si4_b06_m200.08 3 13
si4_b06_m200.00 3 13
si4_b06_m200.04 3 13
si4_b06_m200.01 3 13
si4_b06_m200.09 3 13
si4_r005_m400.06 7 27598
si4_r005_m400.03 7 4966
si4_r005_m400.07 7 28322
si4_r005_m400.01 7 10581
si4_r005_m400.04 7 16358
si4_r005_m400.00 7 18681
si4_r005_m400.09 7 7926
si4_r005_m400.05 7 8837
si4_r005_m400.08 7 7025
si4_r005_m400.02 7 7927
si4_m4Dr2_m1296.07 6 1148
si4_m4Dr2_m1296.00 6 1254
si4_m4Dr2_m1296.05 6 1349
si4_m4Dr2_m1296.04 6 1236
si4_m4Dr2_m1296.08 6 1582
si4_m4Dr2_m1296.01 6 1120
si4_m4Dr2_m1296.06 6 1275
si4_m4Dr2_m1296.02 6 1150
si4_m4Dr2_m1296.03 6 1216
si4_m4Dr2_m1296.09 6 1207
si6_b09_m800.03 3 589
