instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
si6_r001_m200.06 7 10 14 27 35 526397 68762 65346 1000000
si6_r001_m200.08 7 10 14 16 764 27 111202 1000000 1000000
si6_r001_m200.03 7 10 16 205688 328 1000000 1000000 1000000 1000000
si4_b06_m400.06 3 59 57 71 68 86 56 57 59
si4_b06_m400.07 3 59 57 57 58 57 57 57 59
si4_b06_m400.09 3 59 56 56 57 57 84 75 86
si4_b06_m400.01 3 74 56 56 56 56 56 57 58
si4_b06_m400.04 3 59 56 57 64 57 57 57 59
si4_b06_m400.03 3 89 85 85 85 85 87 86 88
si4_b06_m400.00 3 59 57 56 57 57 57 57 58
si4_b06_m400.05 3 59 57 57 57 57 57 57 59
si4_b06_m400.08 3 94 56 57 72 57 57 57 58
si4_b06_m400.02 3 81 75 56 57 57 57 58 59
si2_m4Dr6_m256.06 6 22 23 203 1349 18 328 16 16
si2_m4Dr6_m256.05 6 14 341 576 174 82 185197 16 16
si2_m4Dr6_m256.09 6 14 15 196 265 20282 1000000 16 16
si2_m4Dr6_m256.00 6 14 60 1000000 56 1701 6781 16 16
si2_m4Dr6_m256.07 6 14 225 3325 2446 710573 119464 25 16
si2_m4Dr6_m256.04 6 14 38 98 2838 100726 409 16 16
si2_m4Dr6_m256.02 6 14 15 125 121 239 19815 19 16
si2_m4Dr6_m256.01 6 21 341201 67097 459 35 19 23 24
si2_m4Dr6_m256.08 6 18 429 37 196 806 3381 16 16
si2_m4Dr6_m256.03 6 14 30 20 83652 4141 819078 4745 16
si6_r01_m200.04 7 343 761 903 1447 3102 4952 2049 1622
si6_r01_m200.08 7 196 1347 3223 6390 1789 1423 8235 4823
si6_r01_m200.02 7 819 2065 622 1549 946 1150 2727 3315
si6_r01_m200.09 7 2763 7504 4373 2910 1196 1982 1745 7234
si6_r01_m200.07 7 326 2520 2636 3097 1274 8353 2022 1561
si6_r01_m200.00 7 387 1467 9447 521 6096 1168 10078 3211
si6_r01_m200.01 7 7490 1004 742 2836 1738 1481 9128 11280
si6_r01_m200.03 7 1380 1454 12134 758 3499 1201 6018 22825
si6_r01_m200.05 7 1873 989 974 15482 3256 999 9205 35268
si6_r01_m200.06 7 1523 1078 589 2069 863 3908 1594 1123
si2_b03m_m800.03 4 125 3299 1000000 248 270 1221 213 212
si2_b03m_m800.02 4 120 182 50556 178 434 236 532 1000000
si2_b03m_m800.09 4 136 1000001 1000000 1000001 220 227 193 204
si2_b03m_m800.04 4 130 173 1000000 216 1000001 337 827 9642
si2_b03m_m800.06 4 122 348 1000000 1000001 186 1000001 279 192
si2_b03m_m800.05 4 130 1000000 1000001 1000001 1000001 5908 246 410
si2_b03m_m800.01 4 130 196 240 1000001 1000001 391 1000001 24813
si2_b03m_m800.08 4 129 242 291 300 378 337 193 202
si2_b03m_m800.07 4 129 1000001 1000001 1000000 268 323 1000000 187
si2_b03m_m800.00 4 124 1000000 1000002 996 248 1000001 252 201
si2_r001_m200.06 7 4364 7 56 20 8 7 6 7
si2_r001_m200.01 7 9 16 7 7 7 7 7 7
si2_r001_m200.02 7 6 67 7 10 10 9 9 7
si2_r001_m200.07 7 5 141598 14 49 7 7 7 7
si2_r001_m200.04 7 6 247628 16 9 9 10 9 10
si2_r001_m200.05 7 14 6 7 7 6 6 7 7
si2_r001_m200.09 7 5 6 8 6 6 6 7 7
si2_r001_m200.03 7 5 185 10 9 7 7 7 7
si2_r001_m200.00 7 5 7 6 6 6 6 7 7
si2_r001_m200.08 7 10 9 709 9 10 7 6 10
si6_b03m_m800.01 4 391 598 627 1000004 1000001 1000002 1000002 5194
si6_b03m_m800.08 4 381 570 606 636 10082 611 1000001 1000002
si6_b03m_m800.03 4 385 581 598 971 641 18164 1000003 955
si6_b03m_m800.00 4 383 563 582 606 631 654 1000002 753
si6_b03m_m800.04 4 415 568 594 114354 671 614 1000001 739
si6_b03m_m800.05 4 390 597 601 3025 68677 1000001 1000003 1000004
si6_b03m_m800.07 4 381 554 612 588 675 661 25990 1206
si6_b03m_m800.06 4 386 557 569 596 6029 31619 1000003 1000002
si6_b03m_m800.09 4 376 575 709 630 666 1000003 1000004 238478
si6_b03m_m800.02 4 379 588 31033 1000002 1000003 1000005 1000003 753
si4_r005_m200.00 7 267 317 7080 461 1211 207 10016 1000000
si4_r005_m200.08 7 52 700 224 284 1376 1925 57229 230713
si4_r005_m200.02 7 54 1199 470 131 188 2111 1000000 1000000
si4_r005_m200.05 7 50 102 195 108 8053 55 2129 1000000
si4_r005_m200.06 7 37 40 144 303 215 2407 204139 1000000
si4_r005_m200.04 7 649 333 48 1276 2850 5508 32736 1592
si4_r005_m200.07 7 133 160 3472 166 437 786 385 1000000
si4_r005_m200.09 7 162 490 145 426 1143 32712 145786 1000000
si4_r005_m200.01 7 141 382 517 348 5317 1867 281562 1000000
si4_r005_m200.03 7 121 174 11136 11645 3988 7146 2748 1000000
si6_b09m_m400.03 4 77 79 82 87 106 101 127 621
si6_b09m_m400.07 4 79 80 82 87 85 179 127 20215
si6_b09m_m400.00 4 78 96 96 111 102 160 561 247
si6_b09m_m400.04 4 78 80 83 86 107 290 2009 383
si6_b09m_m400.06 4 77 80 84 114 87 140 166 662
si6_b09m_m400.08 4 75 79 85 92 84 87 135 443
si6_b09m_m400.02 4 77 80 82 95 88 119 746 2778
si6_b09m_m400.05 4 75 79 84 100 540 121 131 383
si6_b09m_m400.09 4 78 80 83 85 85 194 126 452
si6_b09m_m400.01 4 78 81 101 86 93 352 1548 833
si2_b09_m200.08 3 10 11 11 8 8 8 7 8
si2_b09_m200.01 3 7 8 7 9 7 9 7 7
si2_b09_m200.06 3 10 9 13 10 11 8 8 8
si2_b09_m200.05 3 10 11 11 11 11 11 12 11
si2_b09_m200.00 3 7 7 12 11 8 9 8 7
si2_b09_m200.02 3 7 8 7 8 8 7 8 7
si2_b09_m200.03 3 10 12 13 11 12 23 12 11
si2_b09_m200.04 3 7 8 8 7 8 18 8 8
si2_b09_m200.09 3 7 7 7 7 10 8 8 7
si2_b09_m200.07 3 7 8 10 7 8 10 10 8
si6_r01_m600.02 7 862797 1000000 1000001 1000001 1000000 1000000 656980 1000001
si6_r01_m600.06 7 854637 1000000 490650 1000001 1000000 441894 1000002 1000001
si6_r01_m600.09 7 433669 1000001 581943 1000000 1000001 1000001 1000001 1000001
si6_r01_m600.08 7 1000001 1000000 260224 1000001 1000000 101099 1000001 639692
si6_r01_m600.05 7 869344 779548 1000000 1000001 483481 1000000 1000001 1000001
si6_r01_m600.07 7 1000000 861331 1000001 1000001 1000001 1000001 1000001 241936
si6_r01_m600.03 7 652921 1000001 1000001 502822 1000000 1000000 1000001 1000002
si6_r01_m600.00 7 191866 1000000 1000001 1000001 1000001 1000001 1000000 1000001
si6_r01_m600.01 7 1000000 1000000 1000000 1000000 856821 1000000 1000001 1000001
si6_r01_m600.04 7 1000000 1000001 793536 500164 1000000 1000001 1000001 889840
si2_b06_m200.02 3 9 9 9 7 6 6 6 10
si2_b06_m200.00 3 6 6 6 7 6 6 6 10
si2_b06_m200.01 3 6 6 6 6 6 6 6 7
si2_b06_m200.06 3 9 9 9 6 6 6 6 7
si2_b06_m200.09 3 6 9 6 6 6 7 7 7
si2_b06_m200.07 3 6 6 6 6 7 7 7 7
si2_b06_m200.04 3 6 6 6 6 6 6 6 7
si2_b06_m200.08 3 8 9 9 9 6 6 6 7
si2_b06_m200.03 3 6 6 6 7 6 6 6 7
si2_b06_m200.05 3 6 6 6 9 6 9 6 7
si6_m4Dr2_m1296.05 6 1528 1990 3547 8064 2648 2822 20913 32697
si6_m4Dr2_m1296.09 6 1678 2662 2399 6484 239744 11751 7729 496298
si6_m4Dr2_m1296.01 6 1523 3387 2355 2724 2956 3012 3875 72597
si6_m4Dr2_m1296.06 6 1768 3370 12876 1000002 8868 61691 85831 1000002
si6_m4Dr2_m1296.07 6 1668 2832 5313 27561 10308 6087 191855 62205
si6_m4Dr2_m1296.03 6 1572 2067 2195 2474 3477 3235 61969 249889
si6_m4Dr2_m1296.04 6 1523 2155 2462 10061 3821 2910 23912 26326
si6_m4Dr2_m1296.00 6 1686 3828 356593 1000002 1000002 31586 39125 5332
si6_m4Dr2_m1296.08 6 1814 2004 8536 2883 58633 12774 5388 136179
si6_m4Dr2_m1296.02 6 1518 1993 2401 2817 2647 15955 21886 19526
si2_b09m_m800.09 4 184 251 773660 1000001 1000001 1000001 1000001 1000001
si2_b09m_m800.07 4 184 211 1000000 1000001 1000001 1000001 1000001 1000001
si2_b09m_m800.00 4 178 194 207 404219 12031 357 1000001 1000001
si2_b09m_m800.04 4 181 440 269 470 1083 1000001 1000001 1000002
si2_b09m_m800.02 4 178 2029 362 345710 5398 13107 1000000 1000001
si2_b09m_m800.05 4 183 386 1369 843 1000001 1000000 1000001 1000001
si2_b09m_m800.03 4 183 203 775 716 1193 1000000 1000001 1000002
si2_b09m_m800.08 4 200 1000001 1000001 1000000 1000001 1000002 1000001 1000001
si2_b09m_m800.06 4 179 204 12830 1000000 20041 1000001 1000000 1000000
si2_b09m_m800.01 4 178 207 1000000 19440 3434 7338 1000001 1000001
si4_b03_m400.01 3 56 53 53 68 73 54 65 59
si4_b03_m400.02 3 84 76 53 53 53 53 54 56
si4_b03_m400.05 3 56 53 53 54 53 54 54 55
si4_b03_m400.07 3 84 68 54 53 80 71 54 56
si4_b03_m400.06 3 56 53 53 53 53 54 54 56
si4_b03_m400.00 3 56 53 53 53 54 54 55 56
si4_b03_m400.03 3 56 53 73 54 54 54 55 56
si4_b03_m400.04 3 56 53 80 60 54 53 54 72
si4_b03_m400.09 3 56 53 53 53 53 53 54 83
si4_b03_m400.08 3 56 53 53 53 53 54 54 56
si2_b03_m200.05 3 5 7 5 8 7 5 6 6
si2_b03_m200.09 3 5 5 5 5 5 8 8 6
si2_b03_m200.07 3 5 6 5 5 5 5 6 6
si2_b03_m200.01 3 5 5 5 5 5 5 6 8
si2_b03_m200.08 3 5 5 5 5 5 5 5 6
si2_b03_m200.02 3 5 5 5 5 5 5 6 8
si2_b03_m200.04 3 5 5 5 5 5 5 6 6
si2_b03_m200.03 3 7 6 8 7 8 7 8 8
si2_b03_m200.06 3 5 5 5 5 5 5 6 6
si2_b03_m200.00 3 5 5 5 7 5 5 7 6
si4_r005_m600.00 7 134143 552230 14886 68081 16947 29124 51183 935923
si4_r005_m600.02 7 26369 107877 156297 148345 36557 495705 22739 514627
si4_r005_m600.08 7 163672 183839 63283 204940 75123 77407 190339 1000000
si4_r005_m600.05 7 82140 29110 179864 142558 133036 314371 10052 1000001
si4_r005_m600.07 7 57433 847029 192845 148841 122056 75815 102874 59350
si4_r005_m600.06 7 340689 262796 244999 27488 185772 97604 278898 1000001
si4_r005_m600.01 7 127800 260868 782474 51184 47250 80530 297336 1000000
si4_r005_m600.04 7 98653 71632 466617 180274 19638 97769 409550 115057
si4_r005_m600.03 7 44216 44782 286358 37176 62673 297449 145810 324732
si4_r005_m600.09 7 28003 75307 79249 149384 664883 41993 641974 102616
si4_b09_m400.05 3 63 60 62 67 59 62 63 64
si4_b09_m400.03 3 63 60 60 88 89 135 62 61
si4_b09_m400.00 3 87 62 60 59 66 70 63 80
si4_b09_m400.07 3 63 62 61 61 61 60 61 62
si4_b09_m400.01 3 90 82 60 70 66 67 62 66
si4_b09_m400.06 3 63 61 62 63 94 67 61 65
si4_b09_m400.04 3 62 62 62 62 75 102 95 76
si4_b09_m400.02 3 82 63 62 62 63 59 60 76
si4_b09_m400.08 3 62 61 59 62 63 62 62 87
si4_b09_m400.09 3 63 61 61 60 60 59 60 62
si4_b06m_m400.06 4 50 53 59 57 67 1000000 326 1000000
si4_b06m_m400.03 4 48 54 61 92 61 84 38762 1000000
si4_b06m_m400.01 4 50 55 60 64 91 157 4506 802332
si4_b06m_m400.08 4 50 55 77 64 557 3985 1000001 1000000
si4_b06m_m400.05 4 52 90 6801 2413 1676 1000000 1000000 1000001
si4_b06m_m400.07 4 51 57 58 237 151 1347 15500 239
