instance family
si6_b06m_m400.00 4 76
si6_b06m_m400.08 4 74
si6_b06m_m400.03 4 74
si6_b06m_m400.04 4 110
si6_b06m_m400.06 4 74
si6_b06m_m400.07 4 73
si6_b06m_m400.09 4 75
si6_b06m_m400.02 4 73
si6_b06m_m400.01 4 73
si6_b06m_m400.05 4 103
si2_m4Dr4_m1296.08 6 864
si2_m4Dr4_m1296.07 6 763
si2_m4Dr4_m1296.03 6 808
si2_m4Dr4_m1296.05 6 762
si2_m4Dr4_m1296.06 6 756
si2_m4Dr4_m1296.04 6 732
si2_m4Dr4_m1296.09 6 753
si2_m4Dr4_m1296.01 6 928
si2_m4Dr4_m1296.00 6 894
si2_m4Dr4_m1296.02 6 782
si6_m4Dr6_m1296.02 6 1808
si6_m4Dr6_m1296.08 6 1695
si6_m4Dr6_m1296.07 6 1819
si6_m4Dr6_m1296.06 6 1699
si6_m4Dr6_m1296.03 6 1846
si6_m4Dr6_m1296.04 6 1746
si6_m4Dr6_m1296.05 6 1918
si6_m4Dr6_m1296.00 6 1803
si6_m4Dr6_m1296.09 6 1674
si6_m4Dr6_m1296.01 6 1752
si4_m4Dr2_m256.00 6 22
si4_m4Dr2_m256.01 6 24
si4_m4Dr2_m256.05 6 17
si4_m4Dr2_m256.04 6 22
si4_m4Dr2_m256.08 6 17
si4_m4Dr2_m256.07 6 18
si4_m4Dr2_m256.06 6 17
si4_m4Dr2_m256.02 6 17
si4_m4Dr2_m256.09 6 17
si4_m4Dr2_m256.03 6 17
si4_b09m_m200.01 4 19
si4_b09m_m200.00 4 14
si4_b09m_m200.03 4 13
si4_b09m_m200.06 4 13
si4_b09m_m200.02 4 13
si4_b09m_m200.04 4 13
si4_b09m_m200.05 4 13
si4_b09m_m200.07 4 17
si4_b09m_m200.08 4 19
si4_b09m_m200.09 4 13
si4_m4Dr4_m625.07 6 192
si4_m4Dr4_m625.05 6 167
si4_m4Dr4_m625.01 6 161
si4_m4Dr4_m625.08 6 177
si4_m4Dr4_m625.09 6 167
si4_m4Dr4_m625.00 6 172
si4_m4Dr4_m625.04 6 165
si4_m4Dr4_m625.06 6 167
si4_m4Dr4_m625.03 6 168
si4_m4Dr4_m625.02 6 164
si4_m4Dr4_m1296.03 6 1343
si4_m4Dr4_m1296.01 6 1220
si4_m4Dr4_m1296.00 6 1254
si4_m4Dr4_m1296.07 6 1250
si4_m4Dr4_m1296.02 6 1318
si4_m4Dr4_m1296.04 6 1209
si4_m4Dr4_m1296.09 6 1164
si4_m4Dr4_m1296.06 6 1291
si4_m4Dr4_m1296.08 6 1333
si4_m4Dr4_m1296.05 6 1298
si2_r005_m400.05 7 4733
si2_r005_m400.06 7 1603
si2_r005_m400.08 7 4940
si2_r005_m400.02 7 394831
si2_r005_m400.03 7 9463
si2_r005_m400.00 7 4518
si2_r005_m400.07 7 29339
si2_r005_m400.09 7 5845
si2_r005_m400.04 7 12806
si2_r005_m400.01 7 3846
si2_b06m_m400.03 4 39
si2_b06m_m400.06 4 38
si2_b06m_m400.05 4 51
si2_b06m_m400.01 4 39
si2_b06m_m400.00 4 51
si2_b06m_m400.08 4 39
si2_b06m_m400.07 4 39
si2_b06m_m400.09 4 38
si2_b06m_m400.04 4 59
si2_b06m_m400.02 4 39
si6_r005_m600.02 7 61628
si6_r005_m600.08 7 40161
si6_r005_m600.03 7 87196
si6_r005_m600.05 7 101333
si6_r005_m600.07 7 55499
si6_r005_m600.04 7 68172
si6_r005_m600.06 7 115125
si6_r005_m600.01 7 17001
si6_r005_m600.09 7 142636
si6_r005_m600.00 7 30677
si6_r005_m200.02 7 66
si6_r005_m200.08 7 107
si6_r005_m200.09 7 132
si6_r005_m200.05 7 88
si6_r005_m200.03 7 75
si6_r005_m200.00 7 193
si6_r005_m200.04 7 84
si6_r005_m200.07 7 75
si6_r005_m200.01 7 108
si6_r005_m200.06 7 56
si2_m4Dr6_m625.06 6 164
si2_m4Dr6_m625.08 6 113
si2_m4Dr6_m625.07 6 112
si2_m4Dr6_m625.03 6 133
si2_m4Dr6_m625.04 6 110
si2_m4Dr6_m625.05 6 167
si2_m4Dr6_m625.09 6 115
si2_m4Dr6_m625.01 6 128
si2_m4Dr6_m625.02 6 137
si2_m4Dr6_m625.00 6 111
si6_b03_m800.02 3 579
si6_b03_m800.04 3 521
si6_b03_m800.03 3 543
si6_b03_m800.05 3 523
si6_b03_m800.06 3 536
si6_b03_m800.01 3 521
si6_b03_m800.00 3 562
si6_b03_m800.07 3 579
si6_b03_m800.09 3 523
si6_b03_m800.08 3 521
si4_m4D_m1296.09 5 989
si4_m4D_m1296.06 5 924
si4_m4D_m1296.05 5 949
si4_m4D_m1296.00 5 2290
si4_m4D_m1296.03 5 12639
si4_m4D_m1296.04 5 942
si4_m4D_m1296.08 5 1000004
si4_m4D_m1296.02 5 3339
si4_m4D_m1296.01 5 1003
si4_m4D_m1296.07 5 1023
si6_b03m_m400.03 4 69
si6_b03m_m400.01 4 69
si6_b03m_m400.09 4 69
si6_b03m_m400.08 4 68
si6_b03m_m400.07 4 68
si6_b03m_m400.02 4 68
si6_b03m_m400.05 4 68
si6_b03m_m400.00 4 67
si6_b03m_m400.06 4 96
si6_b03m_m400.04 4 68
si4_m4D_m256.07 5 16
si4_m4D_m256.06 5 16
si4_m4D_m256.05 5 21
si4_m4D_m256.08 5 17
si4_m4D_m256.04 5 25
si4_m4D_m256.09 5 17
si4_m4D_m256.02 5 17
si4_m4D_m256.00 5 17
si4_m4D_m256.03 5 16
si4_m4D_m256.01 5 17
si6_b06m_m800.07 4 502
si6_b06m_m800.04 4 423
si6_b06m_m800.01 4 414
si6_b06m_m800.00 4 433
si6_b06m_m800.05 4 409
si6_b06m_m800.08 4 520
si6_b06m_m800.09 4 542
si6_b06m_m800.02 4 417
si6_b06m_m800.03 4 418
si6_b06m_m800.06 4 445
si4_r001_m400.08 7 494
si4_r001_m400.06 7 84
si4_r001_m400.02 7 78
si4_r001_m400.00 7 76
si4_r001_m400.04 7 74
si4_r001_m400.03 7 76
si4_r001_m400.09 7 89
si4_r001_m400.05 7 670
si4_r001_m400.01 7 97
si4_r001_m400.07 7 147
si2_m4Dr6_m1296.00 6 770
si2_m4Dr6_m1296.01 6 810
si2_m4Dr6_m1296.09 6 812
si2_m4Dr6_m1296.06 6 761
si2_m4Dr6_m1296.03 6 769
si2_m4Dr6_m1296.02 6 788
si2_m4Dr6_m1296.05 6 787
si2_m4Dr6_m1296.08 6 757
si2_m4Dr6_m1296.04 6 855
si2_m4Dr6_m1296.07 6 987
si2_b03_m800.07 3 204
si2_b03_m800.08 3 263
si2_b03_m800.04 3 204
si2_b03_m800.05 3 205
si2_b03_m800.09 3 319
si2_b03_m800.00 3 210
si2_b03_m800.02 3 204
si2_b03_m800.03 3 204
si2_b03_m800.01 3 204
si2_b03_m800.06 3 211
si4_b03m_m200.05 4 9
