instance family
si4_b03_m400.03 3 36
si4_b03_m400.04 3 42
si4_b03_m400.09 3 50
si4_b03_m400.08 3 51
si2_b03_m200.05 3 4
si2_b03_m200.09 3 5
si2_b03_m200.07 3 5
si2_b03_m200.01 3 5
si2_b03_m200.08 3 4
si2_b03_m200.02 3 4
si2_b03_m200.04 3 4
si2_b03_m200.03 3 4
si2_b03_m200.06 3 5
si2_b03_m200.00 3 4
si4_r005_m600.00 7 129557
si4_r005_m600.02 7 26055
si4_r005_m600.08 7 159687
si4_r005_m600.05 7 78454
si4_r005_m600.07 7 55061
si4_r005_m600.06 7 325479
si4_r005_m600.01 7 121709
si4_r005_m600.04 7 94666
si4_r005_m600.03 7 42548
si4_r005_m600.09 7 26852
si4_b09_m400.05 3 42
si4_b09_m400.03 3 42
si4_b09_m400.00 3 57
si4_b09_m400.07 3 42
si4_b09_m400.01 3 42
si4_b09_m400.06 3 42
si4_b09_m400.04 3 42
si4_b09_m400.02 3 42
si4_b09_m400.08 3 42
si4_b09_m400.09 3 42
si4_b06m_m400.06 4 42
si4_b06m_m400.03 4 32
si4_b06m_m400.01 4 33
si4_b06m_m400.08 4 33
si4_b06m_m400.05 4 34
si4_b06m_m400.07 4 34
si4_b06m_m400.00 4 46
si4_b06m_m400.04 4 33
si4_b06m_m400.09 4 34
si4_b06m_m400.02 4 33
si2_m4Dr2_m625.05 6 48
si2_m4Dr2_m625.00 6 62
si2_m4Dr2_m625.08 6 62
si2_m4Dr2_m625.09 6 74
si2_m4Dr2_m625.06 6 51
si2_m4Dr2_m625.04 6 51
si2_m4Dr2_m625.01 6 52
si2_m4Dr2_m625.03 6 51
si2_m4Dr2_m625.02 6 52
si2_m4Dr2_m625.07 6 52
si2_r005_m200.02 7 48
si2_r005_m200.01 7 24200
si2_r005_m200.03 7 95
si2_r005_m200.05 7 32037
si2_r005_m200.08 7 26249
si2_r005_m200.04 7 1032
si2_r005_m200.09 7 40
si2_r005_m200.06 7 832
si2_r005_m200.00 7 7346
si2_r005_m200.07 7 149
si4_b03m_m400.03 4 28
si4_b03m_m400.09 4 27
si4_b03m_m400.08 4 27
si4_b03m_m400.04 4 32
si4_b03m_m400.00 4 27
si4_b03m_m400.01 4 28
si4_b03m_m400.07 4 28
si4_b03m_m400.02 4 28
si4_b03m_m400.06 4 29
si4_b03m_m400.05 4 27
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000000
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000000
si4_m4Dr6_m256.01 6 12
si4_m4Dr6_m256.00 6 12
si4_m4Dr6_m256.05 6 14
si4_m4Dr6_m256.08 6 12
si4_m4Dr6_m256.03 6 12
si4_m4Dr6_m256.06 6 15
si4_m4Dr6_m256.09 6 12
si4_m4Dr6_m256.07 6 21
si4_m4Dr6_m256.02 6 11
si4_m4Dr6_m256.04 6 12
si2_b03m_m400.02 4 16
si2_b03m_m400.00 4 15
si2_b03m_m400.01 4 16
si2_b03m_m400.05 4 15
si2_b03m_m400.08 4 23
si2_b03m_m400.07 4 22
si2_b03m_m400.09 4 22
si2_b03m_m400.03 4 22
si2_b03m_m400.04 4 16
si2_b03m_m400.06 4 23
si2_b03m_m200.05 4 3
si2_b03m_m200.03 4 3
si2_b03m_m200.00 4 4
si2_b03m_m200.08 4 4
si2_b03m_m200.06 4 3
si2_b03m_m200.02 4 3
si2_b03m_m200.09 4 3
si2_b03m_m200.04 4 3
si2_b03m_m200.01 4 4
si2_b03m_m200.07 4 3
si4_r001_m200.04 7 7
si4_r001_m200.07 7 10
si4_r001_m200.00 7 7
si4_r001_m200.01 7 9
si4_r001_m200.03 7 10
si4_r001_m200.06 7 7
si4_r001_m200.05 7 7
si4_r001_m200.08 7 7
si4_r001_m200.09 7 22
si4_r001_m200.02 7 10
si2_m4D_m256.08 5 8
si2_m4D_m256.03 5 6
si2_m4D_m256.02 5 8
si2_m4D_m256.06 5 7
si2_m4D_m256.04 5 6
si2_m4D_m256.07 5 8
si2_m4D_m256.01 5 6
si2_m4D_m256.09 5 7
si2_m4D_m256.00 5 6
si2_m4D_m256.05 5 9
si6_r01_m400.04 7 151246
si6_r01_m400.08 7 130461
si6_r01_m400.07 7 82517
si6_r01_m400.06 7 65036
si6_r01_m400.05 7 374107
si6_r01_m400.02 7 214853
si6_r01_m400.00 7 357822
si6_r01_m400.03 7 25801
si6_r01_m400.01 7 70434
si6_r01_m400.09 7 146098
si2_m4Dr4_m625.07 6 63
si2_m4Dr4_m625.02 6 52
si2_m4Dr4_m625.03 6 71
si2_m4Dr4_m625.00 6 49
si2_m4Dr4_m625.05 6 51
si2_m4Dr4_m625.06 6 54
si2_m4Dr4_m625.09 6 4245
si2_m4Dr4_m625.01 6 80
si2_m4Dr4_m625.08 6 66
si2_m4Dr4_m625.04 6 91
si4_r01_m400.01 7 73016
si4_r01_m400.08 7 502315
si4_r01_m400.02 7 1000000
si4_r01_m400.03 7 476366
si4_r01_m400.07 7 1000000
si4_r01_m400.06 7 96490
si4_r01_m400.04 7 1000000
si4_r01_m400.00 7 1000000
si4_r01_m400.05 7 91342
si4_r01_m400.09 7 274910
si2_b09m_m400.09 4 23
si2_b09m_m400.03 4 24
si2_b09m_m400.01 4 24
si2_b09m_m400.08 4 34
si2_b09m_m400.05 4 33
si2_b09m_m400.06 4 24
si2_b09m_m400.00 4 33
si2_b09m_m400.02 4 24
si2_b09m_m400.04 4 23
si2_b09m_m400.07 4 23
si2_b09_m800.07 3 114
si2_b09_m800.04 3 171
si2_b09_m800.05 3 113
si2_b09_m800.00 3 113
si2_b09_m800.02 3 113
si2_b09_m800.01 3 113
si2_b09_m800.08 3 113
si2_b09_m800.09 3 113
si2_b09_m800.03 3 113
si2_b09_m800.06 3 113
si6_b03_m400.04 3 57
si6_b03_m400.09 3 57
si6_b03_m400.02 3 77
si6_b03_m400.06 3 57
si6_b03_m400.05 3 57
si6_b03_m400.08 3 74
si6_b03_m400.01 3 57
si6_b03_m400.07 3 79
si6_b03_m400.03 3 57
si6_b03_m400.00 3 57
si2_r005_m600.03 7 59820
si2_r005_m600.00 7 1000000
si2_r005_m600.06 7 519952
si2_r005_m600.01 7 563345
si2_r005_m600.04 7 1000000
si2_r005_m600.09 7 99763
si2_r005_m600.05 7 1000000
si2_r005_m600.02 7 856914
si2_r005_m600.08 7 255268
si2_r005_m600.07 7 11432
si4_r01_m600.05 7 969556
si4_r01_m600.02 7 1000000
si4_r01_m600.03 7 1000000
si4_r01_m600.07 7 1000000
si4_r01_m600.08 7 1000000
si4_r01_m600.06 7 1000000
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000000
si4_r01_m600.00 7 1000000
si4_r01_m600.09 7 1000000
si2_b09_m400.04 3 23
si2_b09_m400.08 3 23
si2_b09_m400.05 3 23
si2_b09_m400.01 3 24
si2_b09_m400.03 3 23
si2_b09_m400.02 3 23
si2_b09_m400.07 3 23
si2_b09_m400.09 3 23
si2_b09_m400.06 3 23
si2_b09_m400.00 3 23
si4_b06_m200.06 3 8
si4_b06_m200.03 3 10
si4_b06_m200.02 3 8
si4_b06_m200.07 3 10
